SBD,ma_nganh,to_hop_thi,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,ma_nhom
46001508,7340115,A00,,,,8.25,,,,8.0,7.6,,1
42012392,7810103,D01,8.25,,8.0,7.4,,,,,,,4
35010138,7340115,A00,,,,7.0,,,,7.5,7.6,,1
4009335,7340115,D01,8.6,,7.6,6.75,,,,,,,1
51011362,7810103,A00,,,,8.4,,,,7.5,7.75,,4
2028378,7510406,A00,,,,7.0,,,,6.25,6.25,,7
2022406,7340101,A01,,,7.4,7.5,,,,9.0,,,1
53013734,7340122,D01,7.8,,7.2,8.0,,,,,,,1
2052637,7420201,A01,,,8.0,8.0,,,,8.0,,,7
37012264,7510203,D01,6.25,,7.0,6.4,,,,,,,5
54012217,7510401,A00,,,,6.6,,,,6.25,7.75,,6
52010201,7340115,A00,,,,7.75,,,,8.0,7.6,,1
37000736,7340115,A00,,,,8.8,,,,7.5,8.0,,1
2066452,7480202,D01,6.0,,9.4,7.8,,,,,,,0
2066139,7340301,A01,,,8.0,7.25,,,,7.2,,,2
2024689,7340101,A00,,,,7.75,,,,7.0,7.8,,1
37012024,7480201,A00,,,,7.8,,,,6.75,8.0,,0
35013246,7340301,A00,,,,8.25,,,,7.25,7.6,,2
35009653,7220204,D01,8.25,,8.0,8.2,,,,,,,8
52000713,7540106,D07,,,7.6,7.6,,,,,7.5,,7
2071661,7510303,A00,,,,6.5,,,,7.25,6.6,,5
37017044,7340115,D01,7.6,,8.4,8.75,,,,,,,1
2067489,7850101,A00,,,,7.6,,,,6.0,8.5,,7
47011124,7380107,D01,6.8,,8.2,7.75,,,,,,,8
51006866,7420201,A00,,,,6.75,,,,7.25,6.4,,7
48021750,7540101,D07,,,6.8,7.0,,,,,8.2,,7
46009583,7810201,A01,,,7.0,7.5,,,,7.8,,,4
41001156,7480201,D07,,,8.2,8.25,,,,,8.6,,0
35010278,7340101,A00,,,,6.25,,,,7.5,6.8,,1
2038721,7510203,D01,5.75,,7.4,7.0,,,,,,,5
53010130,7340129,A00,,,,7.0,,,,7.75,7.2,,7
2035621,7510303,A01,,,7.4,7.5,,,,7.0,,,5
2006233,7510301,D01,5.8,,7.2,6.25,,,,,,,5
2066476,7510401,A00,,,,6.4,,,,7.5,7.25,,6
48021147,7340101,A00,,,,7.4,,,,8.0,8.5,,1
2042990,7510202,A01,,,7.8,6.5,,,,4.8,,,5
2044516,7480202,D07,,,7.0,7.25,,,,,8.2,,0
39010389,7220201,D01,7.5,,8.0,7.8,,,,,,,8
49001944,7380107,D01,8.5,,6.6,7.4,,,,,,,8
33002507,7340205,A01,,,7.4,7.25,,,,7.6,,,2
48027897,7510401,A00,,,,7.5,,,,7.75,7.4,,6
46009776,7480202,A00,,,,6.0,,,,6.75,7.0,,0
2071892,7850101,A00,,,,7.0,,,,5.5,7.75,,7
60002250,7340101,A00,,,,7.5,,,,8.0,7.8,,1
2003260,7420201,A00,,,,6.25,,,,7.5,7.8,,7
2031295,7480201,A00,,,,8.25,,,,8.0,8.6,,0
2034737,7340115,D01,7.2,,7.4,7.75,,,,,,,1
2048263,7810202,D01,7.75,,8.0,7.6,,,,,,,4
2011944,7420201,D07,,,5.8,6.5,,,,,7.6,,7
2041245,7340201,A00,,,,8.25,,,,8.25,7.6,,2
2002555,7480201,A00,,,,8.4,,,,7.0,7.75,,0
48030536,7540101,A00,,,,6.5,,,,7.0,7.4,,7
48016963,7340120,D01,8.0,,8.4,6.8,,,,,,,1
48021716,7220201,D01,7.5,,8.4,8.8,,,,,,,8
46006857,7819010,B00,,,,5.25,,,,,6.5,6.6,4
2040258,7380107,D01,8.0,,7.4,7.75,,,,,,,8
48002119,7340101,D01,7.75,,8.8,7.4,,,,,,,1
38009037,7340101,A00,,,,8.25,,,,6.75,6.6,,1
53000603,7340101,D01,8.75,,8.2,7.4,,,,,,,1
47006881,7810201,D15,6.5,6.0,8.5,,,,,,,,4
53011623,7480202,A00,,,,6.5,,,,7.25,8.2,,0
2010628,7510301,D01,9.6,,6.4,5.25,,,,,,,5
52012746,7819010,D07,,,6.6,6.0,,,,,6.8,,4
56009502,7480201,A00,,,,8.25,,,,7.5,6.6,,0
37016399,7540204,D01,7.25,,6.2,6.0,,,,,,,6
2072997,7480201,D07,,,7.8,7.4,,,,,7.75,,0
2075610,7810201,A00,,,,4.75,,,,7.25,6.4,,4
56007365,7340101,D01,6.6,,7.0,7.25,,,,,,,1
50013914,7340201,D01,7.0,,7.4,8.0,,,,,,,2
46005479,7510202,D07,,,7.4,7.0,,,,,5.8,,5
37012591,7510202,A01,,,7.0,8.0,,,,6.5,,,5
2007084,7819009,D07,,,6.2,5.75,,,,,6.8,,4
2045179,7340101,A01,,,7.6,7.5,,,,8.0,,,1
2008852,7540106,D07,,,7.4,7.25,,,,,6.8,,7
58006991,7510301,A00,,,,7.8,,,,6.75,7.0,,5
57011188,7540101,A00,,,,8.0,,,,7.75,7.75,,7
2014092,7540101,D07,,,7.4,7.5,,,,,8.2,,7
48003404,7340120,A00,,,,7.75,,,,7.25,7.6,,1
35004289,7510303,A00,,,,8.4,,,,5.5,6.5,,5
40010904,7340120,D01,7.2,,6.6,7.75,,,,,,,1
46000649,7850101,A00,,,,6.75,,,,7.5,8.0,,7
2050048,7340301,A00,,,,8.4,,,,7.5,7.75,,2
2011486,7810103,D15,7.0,7.4,7.0,,,,,,,,4
2023099,7510202,A01,,,8.6,7.75,,,,5.6,,,5
49009826,7340129,A00,,,,6.0,,,,6.75,7.0,,7
37012247,7340301,A00,,,,7.5,,,,7.75,8.2,,2
46006933,7340122,A00,,,,6.5,,,,8.25,7.6,,1
43009186,7540101,D07,,,7.8,7.25,,,,,7.0,,7
53013626,7340115,D01,7.8,,7.6,8.5,,,,,,,1
2084493,7340129,D01,5.6,,7.8,6.75,,,,,,,7
48014669,7340129,D01,7.4,,7.0,8.0,,,,,,,7
39009203,7810201,D01,7.5,,8.8,7.4,,,,,,,4
53009851,7340101,D01,7.6,,7.2,7.25,,,,,,,1
41012671,7340122,A00,,,,8.5,,,,7.0,7.4,,1
42012339,7480201,D01,6.0,,7.6,8.2,,,,,,,0
48021828,7850101,A00,,,,4.75,,,,7.75,7.2,,7
2039133,7810201,A00,,,,6.0,,,,8.0,6.8,,4
37017441,7340115,A01,,,8.4,7.8,,,,8.0,,,1
2060626,7340301,A00,,,,6.75,,,,7.25,7.6,,2
17007912,7340115,D01,8.6,,7.2,8.25,,,,,,,1
52006192,7220204,D01,8.0,,7.4,7.2,,,,,,,8
38003220,7340201,D01,7.6,,7.8,8.75,,,,,,,2
46005321,7819010,A01,,,7.6,6.5,,,,5.0,,,4
41008874,7340115,D01,7.8,,7.8,7.25,,,,,,,1
63001230,7340115,A00,,,,7.0,,,,8.25,7.8,,1
47012073,7510203,D01,3.4,,7.0,7.0,,,,,,,5
2068197,7540106,B00,,,,8.0,,,,,5.5,6.25,7
2008724,7510401,A00,,,,7.6,,,,6.75,8.25,,6
56004840,7810202,D15,6.5,6.4,6.0,,,,,,,,4
2040362,7340205,A00,,,,7.0,,,,8.25,7.2,,2
49005677,7540106,A00,,,,7.75,,,,7.5,7.4,,7
2079759,7510301,D01,5.75,,5.4,6.6,,,,,,,5
48017302,7510203,A00,,,,6.8,,,,8.0,7.0,,5
41006243,7810201,A00,,,,7.8,,,,8.0,7.25,,4
44010167,7540101,A00,,,,8.0,,,,8.0,8.0,,7
39004139,7810202,D01,7.5,,7.6,7.2,,,,,,,4
3003487,7480202,A00,,,,6.5,,,,7.5,6.8,,0
48014841,7340115,D01,7.0,,7.8,7.75,,,,,,,1
2035160,7340205,A00,,,,7.5,,,,6.5,5.4,,2
2066170,7420201,D07,,,7.2,7.25,,,,,6.6,,7
53008428,7540204,D01,6.0,,6.4,8.25,,,,,,,6
44004272,7340101,A01,,,8.6,8.6,,,,6.5,,,1
2043787,7520115,A00,,,,6.75,,,,6.5,7.8,,6
52003630,7480201,A01,,,8.2,7.8,,,,6.75,,,0
60004313,7480201,A00,,,,7.25,,,,8.0,8.0,,0
2019848,7850101,A01,,,7.4,5.2,,,,5.5,,,7
53016383,7480201,A01,,,9.0,7.8,,,,7.5,,,0
36001877,7480201,A00,,,,8.5,,,,7.0,7.6,,0
2035705,7510203,A01,,,7.8,6.75,,,,6.4,,,5
46006036,7510301,A00,,,,6.5,,,,7.0,7.4,,5
2022987,7340120,A01,,,8.6,8.0,,,,8.0,,,1
52003313,7510303,A00,,,,7.4,,,,5.75,7.25,,5
54002099,7340115,D01,8.8,,7.4,8.25,,,,,,,1
49005648,7540101,A00,,,,8.0,,,,7.25,7.8,,7
2007300,7810201,D01,8.0,,8.6,7.2,,,,,,,4
41014413,7510301,A01,,,6.0,7.0,,,,7.25,,,5
50000168,7810201,D01,8.0,,6.6,7.75,,,,,,,4
56007999,7510203,A00,,,,7.0,,,,4.25,5.25,,5
37005417,7510303,D01,5.25,,6.8,6.8,,,,,,,5
44008596,7340129,D01,8.4,,7.8,7.5,,,,,,,7
2007626,7340101,A00,,,,7.25,,,,8.25,8.0,,1
37015891,7340301,A00,,,,8.6,,,,7.75,7.0,,2
56001568,7420201,A01,,,7.4,7.8,,,,7.75,,,7
55001462,7540101,A00,,,,7.5,,,,9.5,8.8,,7
37010267,7340201,A00,,,,7.25,,,,8.0,8.0,,2
48006271,7480202,D01,6.0,,5.6,5.4,,,,,,,0
42006163,7480201,D01,6.2,,8.0,7.0,,,,,,,0
2022088,7480201,A01,,,8.6,8.0,,,,6.75,,,0
52008303,7510303,A00,,,,7.0,,,,7.75,7.8,,5
35008532,7340301,D01,7.5,,7.2,7.8,,,,,,,2
48023242,7540101,B00,,,,6.75,,,,,7.25,8.0,7
44009540,7480201,D07,,,8.2,7.75,,,,,7.2,,0
56001718,7540101,B00,,,,7.5,,,,,5.5,7.6,7
2035734,7810202,A00,,,,6.0,,,,6.25,7.4,,4
2069440,7380107,D01,7.6,,7.8,7.25,,,,,,,8
2061011,7480201,A00,,,,8.75,,,,6.75,8.0,,0
46008617,7480201,A00,,,,7.5,,,,7.5,8.2,,0
52012847,7340115,D01,7.6,,6.8,8.0,,,,,,,1
40009301,7810201,A00,,,,7.8,,,,7.75,7.25,,4
49016115,7810201,D01,8.5,,7.2,7.8,,,,,,,4
2048971,7480201,D01,7.0,,8.4,7.8,,,,,,,0
44013539,7480202,D01,5.0,,7.2,8.0,,,,,,,0
2078303,7810201,A00,,,,7.75,,,,6.5,8.2,,4
49008472,7340129,D01,8.25,,6.8,6.2,,,,,,,7
39006276,7340101,A00,,,,8.6,,,,7.25,8.5,,1
2008124,7340101,A00,,,,7.0,,,,8.25,8.4,,1
40014340,7540101,B00,,,,8.5,,,,,8.0,7.2,7
2039552,7480201,A01,,,7.2,7.0,,,,8.0,,,0
2067279,7510203,A01,,,7.8,7.25,,,,6.6,,,5
35005872,7380107,D01,7.25,,6.4,7.4,,,,,,,8
48012630,7220201,D09,,,9.0,7.4,,,6.75,,,,8
36000832,7220201,D01,7.8,,6.0,6.75,,,,,,,8
60004583,7480201,D01,7.0,,8.4,8.2,,,,,,,0
39006546,7480201,D07,,,8.6,8.75,,,,,7.4,,0
2027866,7540101,D07,,,8.4,7.8,,,,,8.75,,7
37016379,7340120,A01,,,7.2,7.8,,,,7.75,,,1
32005738,7340301,A00,,,,7.25,,,,8.25,8.0,,2
39007219,7340201,A00,,,,7.0,,,,7.75,7.8,,2
2036886,7540101,B00,,,,7.5,,,,,7.25,7.0,7
2034379,7510203,D01,8.0,,6.6,7.75,,,,,,,5
2019221,7510401,B00,,,,6.5,,,,,8.75,6.8,6
2061401,7380107,D01,5.4,,6.8,8.0,,,,,,,8
43009636,7340301,A00,,,,7.8,,,,6.0,8.5,,2
48027987,7340301,A00,,,,7.0,,,,7.5,7.6,,2
45002560,7340120,A00,,,,7.75,,,,6.0,7.6,,1
35013332,7510303,A00,,,,6.25,,,,7.25,7.4,,5
2038853,7480201,D07,,,9.0,7.6,,,,,7.75,,0
44006610,7420201,B00,,,,7.6,,,,,6.5,5.25,7
53005263,7540105,A00,,,,8.0,,,,8.0,8.25,,7
51015543,7510301,D01,7.0,,7.2,7.75,,,,,,,5
2066856,7510202,A00,,,,7.6,,,,6.5,7.25,,5
57001005,7340201,A00,,,,6.25,,,,7.0,7.2,,2
51014242,7810202,D15,7.25,7.8,8.0,,,,,,,,4
63000122,7380107,A00,,,,7.0,,,,6.0,7.0,,8
53005975,7340301,A00,,,,6.75,,,,7.5,7.6,,2
28033424,7480202,A00,,,,7.2,,,,6.25,7.75,,0
2061299,7810103,A00,,,,7.25,,,,7.5,7.0,,4
53011090,7480201,D01,5.6,,7.0,8.0,,,,,,,0
41005044,7510203,A01,,,7.8,7.0,,,,7.2,,,5
2048699,7480201,A01,,,7.0,6.75,,,,8.0,,,0
35008594,7340101,D01,6.0,,7.2,9.0,,,,,,,1
44007502,7540101,A00,,,,8.0,,,,8.25,8.2,,7
53011554,7340101,D01,7.75,,8.4,7.6,,,,,,,1
2007016,7480201,A01,,,8.2,7.75,,,,8.2,,,0
41001508,7480201,D07,,,7.6,7.75,,,,,6.8,,0
53004858,7850101,D07,,,5.4,7.0,,,,,5.25,,7
2006170,7540101,A01,,,7.8,7.5,,,,7.2,,,7
56001122,7810202,D15,7.75,5.4,8.75,,,,,,,,4
44013732,7340201,D01,5.2,,6.8,8.75,,,,,,,2
48001590,7340120,D01,8.0,,8.0,8.0,,,,,,,1
61002313,7480201,D01,8.0,,7.6,7.0,,,,,,,0
37013738,7220204,D01,7.0,,9.4,6.4,,,,,,,8
51004287,7540101,A00,,,,8.0,,,,7.75,8.5,,7
49010207,7510303,A00,,,,6.0,,,,5.25,6.0,,5
61001140,7340120,D01,8.2,,7.4,6.5,,,,,,,1
49012482,7540204,A00,,,,7.0,,,,5.5,8.0,,6
52005302,7480201,A01,,,8.8,7.4,,,,6.25,,,0
2035465,7540101,D07,,,8.6,8.0,,,,,7.4,,7
49002957,7510203,D01,5.0,,5.4,7.4,,,,,,,5
2030373,7510303,D01,6.5,,6.8,7.4,,,,,,,5
44001169,7340201,D01,7.0,,7.4,8.5,,,,,,,2
46007299,7540101,B00,,,,8.0,,,,,6.75,7.2,7
40020107,7480201,D01,7.2,,6.4,7.0,,,,,,,0
47009990,7480201,D07,,,7.0,7.5,,,,,6.6,,0
2036815,7540101,D07,,,7.4,8.25,,,,,7.4,,7
51000189,7340120,A00,,,,8.0,,,,7.25,8.5,,1
2027962,7480202,A00,,,,6.4,,,,4.25,7.25,,0
52010901,7510301,D01,4.2,,7.2,6.25,,,,,,,5
41000554,7340129,D01,5.6,,7.2,8.75,,,,,,,7
53013865,7340115,D01,7.2,,8.2,9.25,,,,,,,1
44010163,7380107,A00,,,,7.75,,,,7.75,8.0,,8
44005769,7810202,A00,,,,7.8,,,,8.5,8.25,,4
36003085,7340115,A00,,,,7.5,,,,6.75,7.6,,1
2034883,7340101,D01,6.6,,7.2,7.25,,,,,,,1
46005564,7850101,A00,,,,6.25,,,,5.25,6.8,,7
40003147,7810103,D01,3.8,,7.6,8.25,,,,,,,4
2074219,7480202,A01,,,8.8,6.4,,,,5.25,,,0
46009804,7380107,A00,,,,7.0,,,,7.75,7.4,,8
35002833,7540106,A00,,,,6.75,,,,6.25,7.6,,7
38010329,7480201,A00,,,,7.5,,,,7.0,8.4,,0
46003015,7340101,A00,,,,7.0,,,,8.0,7.4,,1
29015263,7340301,D01,9.25,,5.6,8.2,,,,,,,2
49006237,7340120,D01,7.0,,8.0,8.6,,,,,,,1
2050247,7220201,D01,7.75,,9.2,6.8,,,,,,,8
45000610,7540101,B00,,,,7.5,,,,,7.0,8.0,7
43002471,7480202,A00,,,,8.0,,,,6.5,7.0,,0
43008504,7810201,A00,,,,7.5,,,,8.0,6.8,,4
60003800,7340129,A00,,,,7.25,,,,8.25,7.0,,7
46005375,7510203,A00,,,,7.2,,,,5.0,5.25,,5
40001754,7340201,D01,7.75,,7.0,7.6,,,,,,,2
42002328,7510303,A00,,,,8.8,,,,7.25,6.5,,5
50008075,7810202,D01,7.0,,6.8,8.25,,,,,,,4
2071321,7510402,A00,,,,7.0,,,,4.25,5.25,,6
35004152,7380107,D01,6.2,,8.0,6.5,,,,,,,8
2080235,7510301,A01,,,7.2,6.5,,,,6.0,,,5
2044885,7850101,A00,,,,5.25,,,,5.25,7.8,,7
59001982,7810201,D15,7.0,4.8,7.75,,,,,,,,4
2002904,7510301,A01,,,8.4,7.0,,,,6.5,,,5
2018978,7340120,D01,8.4,,6.8,7.0,,,,,,,1
40016310,7340101,D01,6.8,,7.6,7.25,,,,,,,1
34009998,7340115,A00,,,,7.5,,,,7.0,8.2,,1
42000802,7340115,D01,7.4,,8.0,8.0,,,,,,,1
43002478,7220201,D01,7.0,,10.0,7.0,,,,,,,8
29021935,7340115,A00,,,,8.5,,,,7.75,7.4,,1
35007796,7480202,D01,4.25,,5.6,6.8,,,,,,,0
43010554,7340129,D01,6.4,,7.0,7.5,,,,,,,7
2079757,7480201,D07,,,8.0,6.75,,,,,8.2,,0
2006095,7850101,A00,,,,6.0,,,,7.25,7.0,,7
35000942,7340201,A00,,,,7.5,,,,7.5,8.6,,2
48006012,7480202,D01,5.75,,7.2,6.6,,,,,,,0
49014616,7480202,A00,,,,5.75,,,,4.0,7.4,,0
53015168,7510401,A00,,,,7.8,,,,7.0,6.75,,6
48029325,7340115,A01,,,8.4,7.5,,,,7.8,,,1
2050348,7480201,D07,,,7.2,8.0,,,,,8.0,,0
40008395,7340115,D01,8.25,,8.4,7.2,,,,,,,1
2026995,7340120,D01,8.0,,8.6,7.75,,,,,,,1
2075382,7510202,A00,,,,8.0,,,,7.25,7.4,,5
2034946,7220201,D01,7.2,,8.2,7.5,,,,,,,8
47006815,7480201,A00,,,,8.0,,,,5.75,8.5,,0
42010871,7810202,A01,,,8.4,7.25,,,,6.2,,,4
44001310,7380107,A01,,,7.4,7.5,,,,8.0,,,8
43002629,7340201,A00,,,,7.8,,,,7.25,7.0,,2
2083771,7480202,A00,,,,7.4,,,,6.5,6.0,,0
53011135,7540101,D07,,,6.8,7.75,,,,,7.0,,7
2047351,7510401,D07,,,5.0,7.6,,,,,4.75,,6
35006926,7340101,D01,5.0,,7.4,8.25,,,,,,,1
2075409,7480201,A00,,,,8.25,,,,7.5,7.2,,0
52006910,7340122,A00,,,,7.5,,,,7.75,8.0,,1
48023487,7340201,D01,6.5,,7.8,8.2,,,,,,,2
49010385,7850101,A00,,,,7.8,,,,6.75,7.75,,7
48024334,7380107,D01,8.25,,5.8,7.0,,,,,,,8
2030200,7340115,D01,8.0,,7.2,7.25,,,,,,,1
2026343,7540101,A01,,,8.2,8.25,,,,8.0,,,7
37012892,7520115,D01,5.6,,7.8,6.75,,,,,,,6
43004088,7340101,A00,,,,7.0,,,,7.0,7.0,,1
2074492,7810202,D01,6.0,,8.0,7.25,,,,,,,4
37008521,7340122,D01,6.8,,8.4,7.25,,,,,,,1
61002440,7810103,D01,4.4,,6.8,7.25,,,,,,,4
2050255,7380107,A00,,,,7.25,,,,7.5,7.6,,8
2008457,7480201,D01,6.8,,7.0,7.75,,,,,,,0
52010925,7540101,A00,,,,7.25,,,,7.25,6.4,,7
37004575,7510401,A00,,,,6.8,,,,6.0,6.25,,6
2081947,7480202,A00,,,,4.5,,,,7.0,6.8,,0
37017297,7510301,D01,7.0,,7.0,7.2,,,,,,,5
44007852,7380107,A00,,,,7.75,,,,7.5,7.0,,8
2044572,7510202,D01,6.4,,7.2,5.75,,,,,,,5
40015784,7340301,A00,,,,6.25,,,,7.0,6.6,,2
56013187,7480201,A00,,,,8.4,,,,7.5,7.75,,0
53002824,7340201,A00,,,,8.4,,,,7.5,7.0,,2
54010808,7480201,D01,9.2,,6.4,7.0,,,,,,,0
48030446,7810201,A00,,,,8.6,,,,6.75,7.75,,4
35010269,7340115,D01,7.2,,7.6,8.75,,,,,,,1
43008442,7480201,A01,,,8.2,8.25,,,,7.4,,,0
50000637,7340122,A00,,,,7.0,,,,7.25,7.4,,1
51009877,7220204,D01,8.2,,7.6,8.0,,,,,,,8
50010703,7340101,D01,8.5,,8.0,8.0,,,,,,,1
2063483,7480201,D07,,,7.0,7.75,,,,,8.6,,0
56011889,7810201,D01,7.75,,7.2,7.4,,,,,,,4
32001664,7220204,D01,7.75,,7.4,7.4,,,,,,,8
2080645,7340201,D01,8.0,,7.8,6.75,,,,,,,2
2064793,7480201,D07,,,8.2,7.25,,,,,8.0,,0
50009455,7480201,D07,,,7.4,8.0,,,,,7.4,,0
2040662,7340115,D01,8.6,,7.8,8.0,,,,,,,1
2069069,7480202,A01,,,7.6,8.2,,,,7.0,,,0
53014129,7340129,D01,7.5,,7.8,5.6,,,,,,,7
40013790,7510303,A00,,,,7.0,,,,7.25,6.8,,5
44006753,7340115,A00,,,,7.25,,,,7.25,8.6,,1
63006929,7510406,A00,,,,6.5,,,,5.75,7.4,,7
49012725,7340301,D01,8.25,,7.6,7.2,,,,,,,2
44011031,7480201,D01,6.6,,7.0,7.5,,,,,,,0
2081719,7220204,D01,7.0,,7.4,8.6,,,,,,,8
60004281,7510303,A00,,,,6.0,,,,8.0,7.0,,5
53012600,7540106,B00,,,,6.6,,,,,6.25,5.5,7
48032736,7540101,B00,,,,7.5,,,,,8.25,7.0,7
48007320,7340101,A00,,,,7.75,,,,7.0,7.6,,1
43006014,7340101,A00,,,,7.0,,,,7.75,6.6,,1
56001887,7220204,D09,,,7.8,9.25,,,7.0,,,,8
46000737,7810201,A00,,,,7.5,,,,6.0,6.8,,4
44005462,7540101,D07,,,8.8,8.0,,,,,8.0,,7
40004793,7220201,D09,,,7.6,8.75,,,7.2,,,,8
2080687,7540101,B00,,,,7.75,,,,,8.0,7.6,7
49003202,7340120,D01,7.5,,8.6,8.2,,,,,,,1
2053227,7380107,D01,7.4,,6.0,7.0,,,,,,,8
2071616,7480201,A01,,,8.4,7.8,,,,6.5,,,0
41008523,7819009,A00,,,,4.75,,,,5.75,6.8,,4
35009496,7340115,D01,6.8,,7.8,8.75,,,,,,,1
53003421,7340301,D01,7.75,,6.8,8.2,,,,,,,2
38005400,7340120,D01,7.2,,6.8,9.0,,,,,,,1
48006546,7380107,D01,7.2,,7.0,7.75,,,,,,,8
37008864,7480202,D01,3.8,,6.4,6.75,,,,,,,0
50012691,7220201,D01,8.0,,8.4,6.8,,,,,,,8
54011428,7540101,D07,,,8.8,7.8,,,,,7.5,,7
53013629,7540101,B00,,,,8.4,,,,,7.75,7.5,7
2034640,7810201,D01,6.6,,6.8,6.0,,,,,,,4
35002485,7810201,A00,,,,7.75,,,,7.5,7.6,,4
35007823,7340120,A00,,,,8.0,,,,8.25,7.8,,1
37013726,7480201,A00,,,,6.5,,,,8.25,7.4,,0
2023583,7510203,A00,,,,7.25,,,,6.75,7.6,,5
42009447,7340301,A00,,,,6.25,,,,5.75,7.6,,2
2027427,7540101,B00,,,,8.6,,,,,8.25,7.75,7
61007970,7340301,D01,8.0,,6.6,8.0,,,,,,,2
2037051,7380107,D01,7.0,,6.6,8.2,,,,,,,8
2008365,7540101,D07,,,8.6,6.75,,,,,8.2,,7
38011269,7340101,A00,,,,7.6,,,,7.25,8.25,,1
48014984,7510203,D01,5.4,,7.0,7.5,,,,,,,5
53010064,7480201,A00,,,,8.0,,,,7.25,7.2,,0
46003388,7850101,A00,,,,6.6,,,,6.5,6.5,,7
52007801,7340101,A00,,,,7.25,,,,7.5,7.4,,1
53006784,7510203,A00,,,,7.2,,,,6.25,7.5,,5
