thoi_gian,nganh_hoc,gioi_tinh,to_hop_thi,likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,muc_tieu_ma,muc_tieu_nhan,ghi_chu_thieu_du_lieu,ma_nganh,nguon_du_lieu,sample_weight
8/12/2026 15:19,Luật,Nu,D01,5,4,2,5,4,2,1,4,1,1,8.0,,7.0,5.0,,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 11:50,Luật,Nu,D01,2,4,4,4,5,2,3,1,3,3,8.0,,8.25,7.5,,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
7/22/2026 18:18,Luật,Nam,X01,4,2,3,5,3,1,1,2,4,1,9.0,,,5.25,8.75,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/13/2026 16:47,Luật,Nu,A01,5,2,2,5,5,4,1,4,2,1,,,8.0,8.0,,,,8.0,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/13/2026 16:47,Luật,Nam,A01,5,3,2,1,5,1,3,1,1,1,,,8.0,8.0,,,,8.0,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/13/2026 16:47,Luật,Nu,A01,5,2,2,5,4,2,2,3,3,2,,,8.0,8.0,,,,8.0,,,1,Đi làm,,7380101,ga_can_bang_lop,1
7/22/2026 18:18,Luật,Nu,X01,2,4,4,4,5,2,3,1,3,3,9.0,,,5.25,8.75,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
7/22/2026 18:18,Luật,Nu,X01,4,3,4,1,4,1,3,2,3,2,9.0,,,5.25,8.75,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 11:50,Luật,Nu,D01,4,3,1,5,3,2,1,2,4,1,8.0,,8.25,7.5,,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/15/2026 20:19,Luật,Nu,D01,5,2,2,5,3,3,2,3,4,2,7.25,,8.75,8.25,,,,,,,2,Nghiên cứu,,7380101,ga_can_bang_lop,1
8/14/2026 12:07,Luật,Nam,D07,3,3,2,5,3,1,1,1,3,2,,,6.0,7.0,,,,,7.0,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 11:10,Luật,Nu,X01,5,4,3,4,5,1,2,3,4,2,6.5,,,6.75,5.0,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/13/2026 16:47,Luật,Nu,A01,2,3,2,5,3,2,2,1,4,1,,,8.0,8.0,,,,8.0,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 10:21,Luật,Nam,C00,2,3,2,1,5,4,5,2,2,1,7.0,5.0,,,,,6.75,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 10:21,Luật,Nu,C00,5,4,2,1,5,1,2,2,2,2,7.0,5.0,,,,,6.75,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/15/2026 20:19,Luật,Nam,D01,5,2,4,5,5,2,1,2,5,2,7.25,,8.75,8.25,,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 12:07,Luật,Nu,D07,3,3,2,5,3,1,1,1,3,2,,,6.0,7.0,,,,,7.0,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/12/2026 15:19,Luật,Nam,D01,3,4,3,5,5,3,1,4,4,2,8.0,,7.0,5.0,,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/12/2026 15:19,Luật,Nu,D01,3,3,2,4,5,4,1,2,5,3,8.0,,7.0,5.0,,,,,,,2,Nghiên cứu,,7380101,ga_can_bang_lop,1
8/14/2026 11:10,Luật,Nam,X01,3,2,2,1,2,1,1,4,5,2,6.5,,,6.75,5.0,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
7/22/2026 18:18,Luật,Nam,X01,4,2,4,1,5,1,2,5,1,2,9.0,,,5.25,8.75,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/13/2026 14:47,Luật,Nu,X01,4,1,2,3,4,3,2,1,5,3,9.0,,,9.5,6.5,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 12:07,Luật,Nu,D07,5,4,2,1,5,1,2,2,2,2,,,6.0,7.0,,,,,7.0,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 11:50,Luật,Nu,D01,5,4,3,5,5,5,2,3,1,4,8.0,,8.25,7.5,,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 11:10,Luật,Nam,X01,5,4,2,2,5,3,1,2,3,3,6.5,,,6.75,5.0,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/15/2026 20:19,Luật,Nam,D01,2,3,2,5,5,1,3,1,5,1,7.25,,8.75,8.25,,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/12/2026 15:19,Luật,Nu,D01,3,2,2,1,2,1,1,4,5,2,8.0,,7.0,5.0,,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
7/22/2026 18:18,Luật,Nu,X01,4,5,2,5,3,3,1,1,4,1,9.0,,,5.25,8.75,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 12:07,Luật,Nu,D07,2,4,4,4,5,2,3,1,3,3,,,6.0,7.0,,,,,7.0,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 12:07,Luật,Nu,D07,5,4,2,1,5,1,2,2,2,2,,,6.0,7.0,,,,,7.0,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/13/2026 16:47,Luật,Nu,A01,5,4,2,2,5,3,1,2,3,3,,,8.0,8.0,,,,8.0,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 11:10,Luật,Nu,X01,2,3,2,5,5,1,3,1,5,1,6.5,,,6.75,5.0,,,,,,2,Nghiên cứu,,7380101,ga_can_bang_lop,1
8/14/2026 12:07,Luật,Nu,D07,4,4,3,2,4,4,2,1,5,3,,,6.0,7.0,,,,,7.0,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/13/2026 16:47,Luật,Nu,A01,2,3,2,5,5,1,3,1,5,1,,,8.0,8.0,,,,8.0,,,1,Đi làm,,7380101,ga_can_bang_lop,1
7/22/2026 18:18,Luật,Nam,X01,5,5,3,5,5,1,3,5,5,2,9.0,,,5.25,8.75,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 10:21,Luật,Nam,C00,5,2,4,5,5,2,1,2,5,2,7.0,5.0,,,,,6.75,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
7/22/2026 18:18,Luật,Nu,X01,3,2,4,5,3,1,1,1,3,1,9.0,,,5.25,8.75,,,,,,2,Nghiên cứu,,7380101,ga_can_bang_lop,1
8/12/2026 15:19,Luật,Nam,D01,5,2,2,5,5,3,1,2,5,2,8.0,,7.0,5.0,,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/13/2026 14:47,Luật,Nam,X01,4,3,3,2,4,1,2,2,5,2,9.0,,,9.5,6.5,,,,,,2,Nghiên cứu,,7380101,ga_can_bang_lop,1
8/14/2026 12:07,Luật,Nam,D07,2,3,2,1,5,4,5,2,2,1,,,6.0,7.0,,,,,7.0,,2,Nghiên cứu,,7380101,ga_can_bang_lop,1
8/13/2026 14:47,Luật,Nu,X01,2,2,2,5,5,3,1,2,3,1,9.0,,,9.5,6.5,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/13/2026 14:47,Luật,Nu,X01,5,5,3,5,5,1,3,5,5,2,9.0,,,9.5,6.5,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 11:50,Luật,Nu,D01,2,2,2,5,5,3,1,2,3,1,8.0,,8.25,7.5,,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/12/2026 15:19,Luật,Nu,D01,5,4,2,2,5,3,1,2,3,3,8.0,,7.0,5.0,,,,,,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/14/2026 12:07,Luật,Nam,D07,5,2,2,5,5,3,1,2,5,2,,,6.0,7.0,,,,,7.0,,1,Đi làm,,7380101,ga_can_bang_lop,1
8/13/2026 10:40,Trí tuệ nhân tạo,Nam,C01,1,4,5,4,5,1,2,3,1,5,9.0,,,9.0,,,,8.0,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/13/2026 9:21,Trí tuệ nhân tạo,Nam,D01,2,3,4,4,4,1,3,1,4,1,8.25,,9.5,5.25,,,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/13/2026 9:21,Trí tuệ nhân tạo,Nu,D01,2,4,3,4,4,2,2,2,1,1,8.25,,9.5,5.25,,,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/13/2026 13:48,Trí tuệ nhân tạo,Nam,A00,1,4,3,3,4,3,2,2,4,5,,,,7.5,,,,5.75,7.75,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/14/2026 11:56,Trí tuệ nhân tạo,Nam,X26,1,5,3,5,5,1,3,2,2,2,,,6.0,5.5,,9.0,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/12/2026 16:51,Trí tuệ nhân tạo,Nam,A01,3,5,5,5,5,2,2,3,2,1,,,6.75,5.5,,,,9.5,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/13/2026 10:40,Trí tuệ nhân tạo,Nam,C01,4,3,4,4,4,2,2,4,1,2,9.0,,,9.0,,,,8.0,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/12/2026 16:51,Trí tuệ nhân tạo,Nu,A01,1,5,3,3,1,1,3,3,1,3,,,6.75,5.5,,,,9.5,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/13/2026 9:21,Trí tuệ nhân tạo,Nu,D01,2,3,3,5,5,1,1,2,2,5,8.25,,9.5,5.25,,,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/14/2026 9:34,Trí tuệ nhân tạo,Nam,A01,2,1,4,5,5,1,1,1,2,1,,,7.2,8.3,,,,6.5,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/14/2026 11:30,Trí tuệ nhân tạo,Nam,A00,2,4,3,5,4,2,1,1,4,3,,,,6.75,,,,7.0,5.5,,1,Đi làm,,7480107,ga_can_bang_lop,1
7/21/2026 18:56,Trí tuệ nhân tạo,Nam,X26,4,3,3,5,4,4,1,1,2,3,,,6.75,6.5,,5.5,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
7/21/2026 18:56,Trí tuệ nhân tạo,Nu,X26,2,5,3,5,4,4,2,1,1,2,,,6.75,6.5,,5.5,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/13/2026 10:40,Trí tuệ nhân tạo,Nu,C01,2,3,4,5,4,2,2,2,1,2,9.0,,,9.0,,,,8.0,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/12/2026 16:51,Trí tuệ nhân tạo,Nu,A01,2,3,4,5,4,1,1,2,1,2,,,6.75,5.5,,,,9.5,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/13/2026 11:30,Trí tuệ nhân tạo,Nam,A01,5,5,3,5,5,2,2,1,2,1,,,5.25,6.75,,,,5.75,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/13/2026 11:30,Trí tuệ nhân tạo,Nu,A01,1,3,3,5,5,1,1,1,1,1,,,5.25,6.75,,,,5.75,,,3,Kinh doanh,,7480107,ga_can_bang_lop,1
8/12/2026 16:51,Trí tuệ nhân tạo,Nu,A01,2,1,5,4,4,1,2,5,4,1,,,6.75,5.5,,,,9.5,,,1,Đi làm,,7480107,ga_can_bang_lop,1
7/20/2026 14:24,Trí tuệ nhân tạo,Nu,A01,2,5,5,5,4,1,3,4,1,2,,,8.75,6.0,,,,5.0,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/12/2026 16:51,Trí tuệ nhân tạo,Nam,A01,2,3,5,3,3,1,1,1,1,2,,,6.75,5.5,,,,9.5,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/13/2026 9:21,Trí tuệ nhân tạo,Nu,D01,1,4,4,5,3,3,1,2,2,1,8.25,,9.5,5.25,,,,,,,3,Kinh doanh,,7480107,ga_can_bang_lop,1
8/14/2026 9:34,Trí tuệ nhân tạo,Nu,A01,2,1,5,4,4,1,2,5,4,1,,,7.2,8.3,,,,6.5,,,3,Kinh doanh,,7480107,ga_can_bang_lop,1
8/14/2026 9:34,Trí tuệ nhân tạo,Nam,A01,1,4,5,4,5,1,2,3,1,5,,,7.2,8.3,,,,6.5,,,3,Kinh doanh,,7480107,ga_can_bang_lop,1
8/13/2026 10:40,Trí tuệ nhân tạo,Nu,C01,2,4,5,4,5,4,1,2,1,4,9.0,,,9.0,,,,8.0,,,1,Đi làm,,7480107,ga_can_bang_lop,1
7/21/2026 18:56,Trí tuệ nhân tạo,Nam,X26,2,2,5,5,5,3,1,1,1,1,,,6.75,6.5,,5.5,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/12/2026 16:51,Trí tuệ nhân tạo,Nam,A01,2,3,4,5,4,2,2,2,1,2,,,6.75,5.5,,,,9.5,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/12/2026 16:51,Trí tuệ nhân tạo,Nam,A01,1,4,4,5,5,1,2,2,3,1,,,6.75,5.5,,,,9.5,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/14/2026 11:30,Trí tuệ nhân tạo,Nam,A00,1,4,4,4,2,3,2,1,2,1,,,,6.75,,,,7.0,5.5,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/13/2026 9:21,Trí tuệ nhân tạo,Nam,D01,1,4,4,5,5,4,1,1,1,1,8.25,,9.5,5.25,,,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/14/2026 9:34,Trí tuệ nhân tạo,Nam,A01,2,1,4,5,5,1,1,1,2,1,,,7.2,8.3,,,,6.5,,,3,Kinh doanh,,7480107,ga_can_bang_lop,1
8/13/2026 11:30,Trí tuệ nhân tạo,Nu,A01,1,2,5,4,3,3,2,2,3,1,,,5.25,6.75,,,,5.75,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/13/2026 13:48,Trí tuệ nhân tạo,Nu,A00,3,3,5,3,4,1,1,2,1,1,,,,7.5,,,,5.75,7.75,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/13/2026 11:30,Trí tuệ nhân tạo,Nu,A01,5,2,5,4,4,1,2,2,1,1,,,5.25,6.75,,,,5.75,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/14/2026 10:02,Trí tuệ nhân tạo,Nam,D07,2,3,4,4,4,1,3,1,4,1,,,8.25,6.0,,,,,6.75,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/14/2026 11:30,Trí tuệ nhân tạo,Nam,A00,2,4,5,5,5,2,1,1,2,1,,,,6.75,,,,7.0,5.5,,3,Kinh doanh,,7480107,ga_can_bang_lop,1
7/21/2026 18:56,Trí tuệ nhân tạo,Nu,X26,2,4,5,4,5,4,1,2,1,4,,,6.75,6.5,,5.5,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/14/2026 11:30,Trí tuệ nhân tạo,Nu,A00,5,5,3,5,5,2,2,1,2,1,,,,6.75,,,,7.0,5.5,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/14/2026 11:56,Trí tuệ nhân tạo,Nu,X26,3,5,5,5,5,2,2,3,2,1,,,6.0,5.5,,9.0,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/14/2026 11:30,Trí tuệ nhân tạo,Nam,A00,5,4,2,5,5,3,1,2,1,2,,,,6.75,,,,7.0,5.5,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/15/2026 20:01,Trí tuệ nhân tạo,Nu,X26,2,3,4,4,4,1,3,1,4,1,,,7.25,9.5,,9.25,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/15/2026 20:01,Trí tuệ nhân tạo,Nam,X26,2,1,4,5,5,1,1,1,2,1,,,7.25,9.5,,9.25,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
7/21/2026 18:56,Trí tuệ nhân tạo,Nu,X26,4,5,4,4,4,3,2,1,2,2,,,6.75,6.5,,5.5,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
7/20/2026 14:24,Trí tuệ nhân tạo,Nam,A01,2,4,3,5,4,2,1,1,4,3,,,8.75,6.0,,,,5.0,,,3,Kinh doanh,,7480107,ga_can_bang_lop,1
8/13/2026 10:40,Trí tuệ nhân tạo,Nam,C01,2,4,3,5,4,2,1,1,4,3,9.0,,,9.0,,,,8.0,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/13/2026 10:40,Trí tuệ nhân tạo,Nam,C01,5,4,2,5,5,3,1,2,1,2,9.0,,,9.0,,,,8.0,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/14/2026 9:34,Trí tuệ nhân tạo,Nam,A01,4,5,5,5,5,3,2,3,1,3,,,7.2,8.3,,,,6.5,,,1,Đi làm,,7480107,ga_can_bang_lop,1
7/20/2026 14:24,Trí tuệ nhân tạo,Nam,A01,1,5,3,3,1,1,3,3,1,3,,,8.75,6.0,,,,5.0,,,3,Kinh doanh,,7480107,ga_can_bang_lop,1
8/13/2026 10:40,Trí tuệ nhân tạo,Nam,C01,3,5,5,5,5,2,2,3,2,1,9.0,,,9.0,,,,8.0,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/13/2026 13:48,Trí tuệ nhân tạo,Nu,A00,2,3,4,5,4,1,1,2,1,2,,,,7.5,,,,5.75,7.75,,3,Kinh doanh,,7480107,ga_can_bang_lop,1
8/15/2026 20:01,Trí tuệ nhân tạo,Nam,X26,2,3,3,4,4,1,1,1,4,1,,,7.25,9.5,,9.25,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/13/2026 11:30,Trí tuệ nhân tạo,Nam,A01,2,5,4,5,5,2,3,1,3,1,,,5.25,6.75,,,,5.75,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/13/2026 9:21,Trí tuệ nhân tạo,Nu,D01,1,2,5,4,3,3,2,2,3,1,8.25,,9.5,5.25,,,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
7/20/2026 14:24,Trí tuệ nhân tạo,Nam,A01,2,3,4,5,4,1,1,2,1,2,,,8.75,6.0,,,,5.0,,,1,Đi làm,,7480107,ga_can_bang_lop,1
7/21/2026 18:56,Trí tuệ nhân tạo,Nam,X26,1,4,4,4,5,1,1,1,3,1,,,6.75,6.5,,5.5,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/15/2026 20:01,Trí tuệ nhân tạo,Nam,X26,1,4,5,4,5,1,2,3,1,5,,,7.25,9.5,,9.25,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/15/2026 20:01,Trí tuệ nhân tạo,Nu,X26,3,4,5,4,3,1,2,2,2,1,,,7.25,9.5,,9.25,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/15/2026 20:01,Trí tuệ nhân tạo,Nam,X26,1,5,3,5,5,1,3,2,2,2,,,7.25,9.5,,9.25,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/14/2026 9:34,Trí tuệ nhân tạo,Nu,A01,2,2,5,4,4,2,1,5,1,1,,,7.2,8.3,,,,6.5,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/14/2026 10:02,Trí tuệ nhân tạo,Nam,D07,1,4,4,5,5,1,2,2,3,1,,,8.25,6.0,,,,,6.75,,3,Kinh doanh,,7480107,ga_can_bang_lop,1
7/21/2026 18:56,Trí tuệ nhân tạo,Nam,X26,2,4,4,3,5,1,1,4,1,2,,,6.75,6.5,,5.5,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/15/2026 20:01,Trí tuệ nhân tạo,Nam,X26,1,4,4,5,5,1,2,2,3,1,,,7.25,9.5,,9.25,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/14/2026 11:46,Trí tuệ nhân tạo,Nam,A00,3,5,5,5,5,2,2,3,2,1,,,,7.0,,,,7.0,7.75,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/15/2026 20:01,Trí tuệ nhân tạo,Nam,X26,1,5,3,3,1,1,3,3,1,3,,,7.25,9.5,,9.25,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/13/2026 9:21,Trí tuệ nhân tạo,Nam,D01,1,4,5,4,5,1,2,3,1,5,8.25,,9.5,5.25,,,,,,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/14/2026 9:34,Trí tuệ nhân tạo,Nu,A01,1,5,3,5,5,1,3,2,2,2,,,7.2,8.3,,,,6.5,,,3,Kinh doanh,,7480107,ga_can_bang_lop,1
8/14/2026 11:46,Trí tuệ nhân tạo,Nam,A00,1,5,3,5,5,1,3,2,2,2,,,,7.0,,,,7.0,7.75,,1,Đi làm,,7480107,ga_can_bang_lop,1
8/13/2026 11:30,Trí tuệ nhân tạo,Nam,A01,2,4,5,5,5,2,1,1,2,1,,,5.25,6.75,,,,5.75,,,3,Kinh doanh,,7480107,ga_can_bang_lop,1
,,Nu,A00,4,4,3,5,4,5,5,4,2,4,,,,6.5,,,,7.5,8.4,,1,Đi làm,,7510402,ga_can_bang_lop,1
,,Nu,A00,3,2,3,4,3,5,2,3,3,3,,,,8.0,,,,6.0,6.75,,1,Đi làm,,7510402,ga_can_bang_lop,1
,,Nam,A00,3,4,3,5,5,4,5,4,5,4,,,,8.0,,,,6.0,6.75,,4,Chưa xác định,,7510402,ga_can_bang_lop,1
,,Nu,A00,4,3,3,5,3,5,4,4,4,1,,,,6.5,,,,4.0,7.8,,1,Đi làm,,7510402,ga_can_bang_lop,1
,,Nu,D07,4,3,5,5,3,5,5,5,2,1,,,7.8,6.6,,,,,5.25,,3,Kinh doanh,,7510402,ga_can_bang_lop,1
,,Nam,A00,4,4,3,5,3,4,2,4,5,4,,,,7.6,,,,6.75,7.5,,1,Đi làm,,7510402,ga_can_bang_lop,1
,,Nu,A00,4,5,3,3,3,3,3,3,2,1,,,,7.6,,,,6.75,7.5,,4,Chưa xác định,,7510402,ga_can_bang_lop,1
,,Nu,A01,5,3,4,3,3,4,4,3,4,4,,,8.8,8.0,,,,7.0,,,1,Đi làm,,7510402,ga_can_bang_lop,1
,,Nam,A00,2,2,2,5,5,5,2,1,3,4,,,,6.75,,,,6.5,6.6,,1,Đi làm,,7510402,ga_can_bang_lop,1
,,Nu,A00,4,3,3,5,3,5,4,4,4,1,,,,8.0,,,,6.0,6.75,,1,Đi làm,,7510402,ga_can_bang_lop,1
