to_hop_thi,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,nguon,ma_nganh,j_nganh,ma_nhom,i_trong_nganh
D01,6.8,,7.4,7.5,,,,,,,ttth,7220201,0,6,55
A01,,,8.6,7.5,,,,7.4,,,ttth,7220201,0,6,56
D01,7.25,,7.2,8.4,,,,,,,ttth,7220201,0,6,57
D09,,,7.2,7.75,,,6.8,,,,ttth,7220201,0,6,58
A01,,,7.4,7.5,,,,8.8,,,ttth,7220201,0,6,59
D01,9.0,,6.2,7.5,,,,,,,ttth,7220201,0,6,60
D01,7.4,,6.4,8.0,,,,,,,ttth,7220201,0,6,61
D01,8.2,,7.2,7.5,,,,,,,ttth,7220201,0,6,62
D01,7.8,,7.4,6.25,,,,,,,ttth,7220201,0,6,63
D01,6.75,,9.2,7.8,,,,,,,ttth,7220201,0,6,64
D01,7.75,,8.6,7.8,,,,,,,ttth,7220201,0,6,65
D01,7.5,,8.8,7.0,,,,,,,ttth,7220201,0,6,66
D01,7.75,,8.0,7.4,,,,,,,ttth,7220204,1,6,0
D09,,,7.6,8.5,,,5.2,,,,ttth,7220204,1,6,1
D01,7.0,,8.4,7.8,,,,,,,ttth,7220204,1,6,2
A01,,,7.6,8.2,,,,8.0,,,ttth,7220204,1,6,3
D01,8.8,,7.8,8.25,,,,,,,ttth,7220204,1,6,4
D01,7.2,,7.8,8.0,,,,,,,ttth,7220204,1,6,5
D01,8.5,,6.2,8.0,,,,,,,ttth,7220204,1,6,6
A01,,,8.6,7.0,,,,5.4,,,ttth,7220204,1,6,7
D01,7.6,,7.8,8.75,,,,,,,ttth,7220204,1,6,8
D01,6.0,,6.8,9.25,,,,,,,ttth,7220204,1,6,9
D01,7.5,,8.2,8.0,,,,,,,ttth,7220204,1,6,10
A01,,,8.2,8.0,,,,7.8,,,ttth,7220204,1,6,11
D01,7.5,,7.4,7.4,,,,,,,ttth,7220204,1,6,12
D01,7.5,,8.4,8.4,,,,,,,ttth,7220204,1,6,13
D01,8.25,,8.4,6.8,,,,,,,ttth,7220204,1,6,14
D01,8.5,,8.2,7.4,,,,,,,ttth,7220204,1,6,15
D01,7.0,,9.4,7.0,,,,,,,ttth,7220204,1,6,16
D01,6.4,,7.4,7.75,,,,,,,ttth,7220204,1,6,17
D09,,,7.0,7.5,,,7.8,,,,ttth,7220204,1,6,18
D01,8.25,,7.4,8.0,,,,,,,ttth,7220204,1,6,19
D01,5.6,,7.6,7.75,,,,,,,ttth,7220204,1,6,20
D01,8.75,,6.2,7.6,,,,,,,ttth,7220204,1,6,21
D01,8.0,,7.0,7.6,,,,,,,ttth,7220204,1,6,22
D01,5.6,,6.8,8.75,,,,,,,ttth,7220204,1,6,23
D09,,,7.2,8.5,,,6.0,,,,ttth,7220204,1,6,24
D01,7.5,,8.0,7.6,,,,,,,ttth,7220204,1,6,25
D01,7.5,,8.2,7.6,,,,,,,ttth,7220204,1,6,26
D01,7.0,,7.4,8.6,,,,,,,ttth,7220204,1,6,27
A01,,,7.8,8.0,,,,6.4,,,ttth,7220204,1,6,28
D01,7.2,,8.6,8.0,,,,,,,ttth,7220204,1,6,29
D09,,,6.6,9.0,,,6.2,,,,ttth,7220204,1,6,30
D01,8.0,,8.2,7.4,,,,,,,ttth,7220204,1,6,31
D01,7.0,,8.8,7.2,,,,,,,ttth,7220204,1,6,32
D01,7.2,,7.0,8.5,,,,,,,ttth,7220204,1,6,33
D01,7.5,,8.0,8.6,,,,,,,ttth,7220204,1,6,34
A01,,,7.2,7.75,,,,6.8,,,ttth,7220204,1,6,35
D01,6.4,,7.4,7.25,,,,,,,ttth,7220204,1,6,36
D01,6.8,,5.6,8.5,,,,,,,ttth,7220204,1,6,37
D01,8.0,,7.4,8.0,,,,,,,ttth,7220204,1,6,38
D09,,,8.4,8.5,,,7.8,,,,ttth,7220204,1,6,39
D01,8.25,,6.8,8.0,,,,,,,ttth,7220204,1,6,40
D01,7.0,,7.0,7.25,,,,,,,ttth,7220204,1,6,41
D01,7.0,,8.6,7.8,,,,,,,ttth,7220204,1,6,42
D01,8.25,,6.6,7.8,,,,,,,ttth,7220204,1,6,43
D01,7.25,,8.8,7.0,,,,,,,ttth,7220204,1,6,44
D01,6.5,,8.8,8.0,,,,,,,ttth,7220204,1,6,45
D01,7.0,,7.0,8.0,,,,,,,ttth,7220204,1,6,46
D01,6.0,,7.2,8.25,,,,,,,ttth,7220204,1,6,47
D01,7.6,,7.4,8.25,,,,,,,ttth,7220204,1,6,48
D09,,,8.2,8.0,,,8.0,,,,ttth,7220204,1,6,49
D01,7.0,,6.4,8.25,,,,,,,ttth,7220204,1,6,50
D01,8.5,,7.2,8.6,,,,,,,ttth,7220204,1,6,51
D01,6.6,,7.2,8.5,,,,,,,ttth,7220204,1,6,52
D01,8.0,,7.0,8.5,,,,,,,ttth,7220204,1,6,53
D01,8.4,,8.2,6.25,,,,,,,ttth,7220204,1,6,54
D01,5.4,,7.6,8.25,,,,,,,ttth,7220204,1,6,55
D09,,,6.6,8.5,,,5.8,,,,ttth,7220204,1,6,56
D01,7.8,,8.0,8.25,,,,,,,ttth,7220204,1,6,57
D01,8.2,,8.4,7.75,,,,,,,ttth,7220204,1,6,58
D01,7.25,,8.2,8.4,,,,,,,ttth,7220204,1,6,59
D01,7.75,,7.4,7.4,,,,,,,ttth,7220204,1,6,60
D01,7.6,,6.0,6.75,,,,,,,ttth,7220204,1,6,61
D01,8.0,,8.0,7.0,,,,,,,ttth,7220204,1,6,62
A01,,,7.4,7.4,,,,8.0,,,ttth,7220204,1,6,63
D01,8.2,,8.0,7.25,,,,,,,ttth,7220204,1,6,64
D01,8.5,,7.0,7.6,,,,,,,ttth,7220204,1,6,65
D01,7.25,,8.4,7.4,,,,,,,ttth,7220204,1,6,66
D01,7.8,,7.6,7.25,,,,,,,ttth,7340101,2,1,0
A00,,,,8.0,,,,7.75,8.5,,ttth,7340101,2,1,1
D01,7.25,,7.8,8.8,,,,,,,ttth,7340101,2,1,2
A00,,,,8.0,,,,7.25,7.8,,ttth,7340101,2,1,3
A00,,,,7.25,,,,7.75,7.8,,ttth,7340101,2,1,4
A00,,,,7.0,,,,7.25,8.2,,ttth,7340101,2,1,5
A00,,,,8.0,,,,7.5,8.25,,ttth,7340101,2,1,6
A00,,,,8.4,,,,7.25,8.0,,ttth,7340101,2,1,7
A00,,,,6.0,,,,7.5,7.8,,ttth,7340101,2,1,8
A01,,,8.0,7.75,,,,7.0,,,ttth,7340101,2,1,9
A01,,,6.8,8.25,,,,6.6,,,ttth,7340101,2,1,10
A00,,,,7.75,,,,7.75,8.0,,ttth,7340101,2,1,11
D01,6.8,,7.8,7.5,,,,,,,ttth,7340101,2,1,12
D01,7.75,,8.0,7.4,,,,,,,ttth,7340101,2,1,13
A00,,,,7.0,,,,8.0,8.0,,ttth,7340101,2,1,14
A00,,,,7.25,,,,8.0,8.2,,ttth,7340101,2,1,15
A00,,,,8.2,,,,8.25,7.75,,ttth,7340101,2,1,16
D01,7.8,,7.4,6.0,,,,,,,ttth,7340101,2,1,17
A00,,,,8.2,,,,8.0,7.75,,ttth,7340101,2,1,18
D01,5.8,,8.2,7.5,,,,,,,ttth,7340101,2,1,19
D01,6.0,,7.2,9.0,,,,,,,ttth,7340101,2,1,20
A01,,,7.8,7.75,,,,8.0,,,ttth,7340101,2,1,21
A00,,,,7.75,,,,7.75,7.8,,ttth,7340101,2,1,22
D01,7.2,,6.8,8.0,,,,,,,ttth,7340101,2,1,23
A01,,,8.4,8.2,,,,8.5,,,ttth,7340101,2,1,24
A00,,,,7.6,,,,7.75,8.25,,ttth,7340101,2,1,25
A00,,,,7.75,,,,8.0,7.6,,ttth,7340101,2,1,26
A00,,,,8.0,,,,8.25,7.6,,ttth,7340101,2,1,27
D01,8.2,,6.4,7.5,,,,,,,ttth,7340101,2,1,28
A00,,,,8.2,,,,7.25,8.25,,ttth,7340101,2,1,29
D01,6.0,,8.6,8.25,,,,,,,ttth,7340101,2,1,30
A00,,,,7.8,,,,8.5,7.25,,ttth,7340101,2,1,31
A00,,,,7.75,,,,6.25,7.4,,ttth,7340101,2,1,32
A01,,,8.0,7.25,,,,8.2,,,ttth,7340101,2,1,33
D01,8.4,,6.8,7.25,,,,,,,ttth,7340101,2,1,34
A00,,,,8.25,,,,7.25,8.0,,ttth,7340101,2,1,35
D01,8.25,,7.0,7.8,,,,,,,ttth,7340101,2,1,36
D01,7.4,,6.6,7.0,,,,,,,ttth,7340101,2,1,37
A00,,,,6.25,,,,8.25,8.6,,ttth,7340101,2,1,38
A00,,,,7.0,,,,8.25,8.4,,ttth,7340101,2,1,39
A00,,,,8.2,,,,8.25,8.75,,ttth,7340101,2,1,40
A00,,,,6.25,,,,8.0,7.2,,ttth,7340101,2,1,41
D01,7.0,,7.4,7.5,,,,,,,ttth,7340101,2,1,42
A01,,,7.6,6.75,,,,8.0,,,ttth,7340101,2,1,43
A01,,,8.6,7.0,,,,8.0,,,ttth,7340101,2,1,44
A00,,,,7.25,,,,7.75,7.6,,ttth,7340101,2,1,45
A00,,,,8.8,,,,6.75,8.5,,ttth,7340101,2,1,46
D01,7.75,,8.0,8.6,,,,,,,ttth,7340101,2,1,47
A00,,,,8.0,,,,7.75,8.25,,ttth,7340101,2,1,48
A00,,,,7.0,,,,7.25,7.8,,ttth,7340101,2,1,49
D01,7.0,,9.0,7.8,,,,,,,ttth,7340101,2,1,50
D01,6.2,,7.6,7.25,,,,,,,ttth,7340101,2,1,51
A00,,,,7.0,,,,7.25,7.6,,ttth,7340101,2,1,52
A00,,,,6.75,,,,7.5,8.0,,ttth,7340101,2,1,53
A00,,,,7.8,,,,7.5,8.5,,ttth,7340101,2,1,54
A01,,,6.6,7.25,,,,7.2,,,ttth,7340101,2,1,55
A00,,,,7.5,,,,7.25,8.0,,ttth,7340101,2,1,56
A00,,,,7.4,,,,8.0,8.5,,ttth,7340101,2,1,57
D01,6.2,,7.8,7.5,,,,,,,ttth,7340101,2,1,58
A00,,,,6.75,,,,7.5,8.0,,ttth,7340101,2,1,59
A00,,,,8.2,,,,7.75,8.75,,ttth,7340101,2,1,60
A01,,,8.4,7.8,,,,7.75,,,ttth,7340101,2,1,61
A00,,,,7.75,,,,7.75,8.0,,ttth,7340101,2,1,62
A00,,,,6.5,,,,7.75,7.6,,ttth,7340101,2,1,63
A00,,,,7.5,,,,6.25,7.8,,ttth,7340101,2,1,64
D01,7.75,,8.2,7.6,,,,,,,ttth,7340101,2,1,65
D01,7.0,,6.0,7.75,,,,,,,ttth,7340101,2,1,66
D01,7.2,,7.0,8.5,,,,,,,ttth,7340115,3,1,0
A01,,,8.4,7.25,,,,8.6,,,ttth,7340115,3,1,1
A00,,,,8.0,,,,8.0,7.4,,ttth,7340115,3,1,2
D01,6.0,,7.8,8.5,,,,,,,ttth,7340115,3,1,3
A01,,,8.4,7.0,,,,6.6,,,ttth,7340115,3,1,4
A00,,,,8.25,,,,7.5,7.8,,ttth,7340115,3,1,5
D01,8.5,,8.2,7.6,,,,,,,ttth,7340115,3,1,6
A00,,,,7.25,,,,8.75,7.8,,ttth,7340115,3,1,7
D01,7.8,,7.6,8.5,,,,,,,ttth,7340115,3,1,8
D01,8.4,,7.6,8.75,,,,,,,ttth,7340115,3,1,9
D01,8.0,,7.2,8.5,,,,,,,ttth,7340115,3,1,10
A00,,,,8.5,,,,8.25,7.8,,ttth,7340115,3,1,11
D01,8.2,,8.2,7.25,,,,,,,ttth,7340115,3,1,12
D01,8.5,,8.6,7.6,,,,,,,ttth,7340115,3,1,13
A00,,,,8.0,,,,7.75,8.6,,ttth,7340115,3,1,14
D01,8.6,,6.2,7.75,,,,,,,ttth,7340115,3,1,15
A00,,,,7.25,,,,8.75,8.0,,ttth,7340115,3,1,16
A00,,,,8.5,,,,7.0,7.2,,ttth,7340115,3,1,17
A00,,,,7.5,,,,8.25,8.0,,ttth,7340115,3,1,18
A00,,,,6.75,,,,8.25,7.8,,ttth,7340115,3,1,19
A00,,,,8.25,,,,8.25,7.6,,ttth,7340115,3,1,20
A00,,,,8.25,,,,8.5,7.4,,ttth,7340115,3,1,21
D01,7.6,,8.4,7.25,,,,,,,ttth,7340115,3,1,22
D01,8.8,,7.2,7.75,,,,,,,ttth,7340115,3,1,23
A00,,,,7.75,,,,8.25,8.0,,ttth,7340115,3,1,24
A00,,,,7.75,,,,8.25,7.6,,ttth,7340115,3,1,25
A01,,,7.8,8.2,,,,7.5,,,ttth,7340115,3,1,26
D01,7.8,,8.0,8.0,,,,,,,ttth,7340115,3,1,27
A00,,,,7.25,,,,7.0,8.2,,ttth,7340115,3,1,28
A00,,,,7.25,,,,8.0,7.6,,ttth,7340115,3,1,29
A00,,,,7.5,,,,6.75,7.6,,ttth,7340115,3,1,30
D01,5.8,,7.0,9.25,,,,,,,ttth,7340115,3,1,31
D01,8.0,,6.8,7.75,,,,,,,ttth,7340115,3,1,32
D01,8.2,,8.2,7.25,,,,,,,ttth,7340115,3,1,33
D01,7.2,,7.4,7.5,,,,,,,ttth,7340115,3,1,34
A00,,,,7.5,,,,7.5,8.6,,ttth,7340115,3,1,35
D01,7.25,,8.4,7.6,,,,,,,ttth,7340115,3,1,36
D01,7.8,,8.0,8.75,,,,,,,ttth,7340115,3,1,37
D01,8.2,,7.2,8.25,,,,,,,ttth,7340115,3,1,38
D01,7.6,,6.8,8.5,,,,,,,ttth,7340115,3,1,39
A00,,,,6.75,,,,7.75,8.0,,ttth,7340115,3,1,40
A00,,,,7.5,,,,7.0,8.2,,ttth,7340115,3,1,41
A00,,,,7.5,,,,8.5,8.4,,ttth,7340115,3,1,42
D01,7.0,,8.0,7.5,,,,,,,ttth,7340115,3,1,43
A01,,,8.4,7.8,,,,8.25,,,ttth,7340115,3,1,44
A01,,,8.2,7.25,,,,6.6,,,ttth,7340115,3,1,45
D01,7.8,,6.8,7.75,,,,,,,ttth,7340115,3,1,46
A00,,,,7.75,,,,8.25,8.4,,ttth,7340115,3,1,47
A01,,,7.6,7.75,,,,7.6,,,ttth,7340115,3,1,48
D01,8.6,,7.6,6.75,,,,,,,ttth,7340115,3,1,49
D01,9.0,,8.4,7.6,,,,,,,ttth,7340115,3,1,50
A00,,,,7.5,,,,7.5,7.6,,ttth,7340115,3,1,51
D01,7.8,,7.8,7.25,,,,,,,ttth,7340115,3,1,52
A00,,,,8.5,,,,7.5,7.6,,ttth,7340115,3,1,53
A00,,,,8.2,,,,7.25,8.0,,ttth,7340115,3,1,54
A00,,,,7.75,,,,6.5,7.8,,ttth,7340115,3,1,55
D01,8.0,,8.4,8.4,,,,,,,ttth,7340115,3,1,56
A00,,,,7.5,,,,8.5,7.8,,ttth,7340115,3,1,57
A00,,,,7.25,,,,7.25,8.0,,ttth,7340115,3,1,58
D01,6.2,,7.8,8.0,,,,,,,ttth,7340115,3,1,59
A00,,,,7.5,,,,7.75,8.2,,ttth,7340115,3,1,60
A00,,,,7.75,,,,7.75,8.0,,ttth,7340115,3,1,61
D01,7.2,,7.8,7.25,,,,,,,ttth,7340115,3,1,62
D01,8.75,,9.0,6.6,,,,,,,ttth,7340115,3,1,63
D01,7.4,,7.2,8.0,,,,,,,ttth,7340115,3,1,64
D01,8.0,,8.8,7.75,,,,,,,ttth,7340115,3,1,65
A01,,,7.8,7.25,,,,7.6,,,ttth,7340115,3,1,66
A00,,,,7.8,,,,6.75,8.5,,ttth,7340120,4,1,0
A00,,,,6.25,,,,7.5,7.4,,ttth,7340120,4,1,1
D01,8.0,,7.8,7.5,,,,,,,ttth,7340120,4,1,2
A00,,,,7.5,,,,8.25,7.8,,ttth,7340120,4,1,3
D01,8.0,,7.8,7.25,,,,,,,ttth,7340120,4,1,4
D01,8.4,,7.6,7.5,,,,,,,ttth,7340120,4,1,5
A01,,,7.2,8.0,,,,7.4,,,ttth,7340120,4,1,6
D01,7.0,,7.6,8.75,,,,,,,ttth,7340120,4,1,7
A00,,,,5.0,,,,8.25,8.2,,ttth,7340120,4,1,8
D01,7.5,,8.2,8.0,,,,,,,ttth,7340120,4,1,9
A00,,,,7.5,,,,7.5,8.8,,ttth,7340120,4,1,10
D01,6.75,,9.4,7.4,,,,,,,ttth,7340120,4,1,11
D01,7.4,,6.8,7.75,,,,,,,ttth,7340120,4,1,12
A01,,,8.6,8.0,,,,7.5,,,ttth,7340120,4,1,13
D01,7.4,,7.0,9.0,,,,,,,ttth,7340120,4,1,14
A00,,,,8.25,,,,7.25,7.2,,ttth,7340120,4,1,15
A00,,,,7.75,,,,7.75,7.2,,ttth,7340120,4,1,16
D01,8.2,,7.6,7.5,,,,,,,ttth,7340120,4,1,17
D01,7.0,,6.6,8.5,,,,,,,ttth,7340120,4,1,18
D01,8.0,,8.6,7.0,,,,,,,ttth,7340120,4,1,19
A00,,,,7.8,,,,8.0,7.25,,ttth,7340120,4,1,20
D01,8.4,,7.0,7.5,,,,,,,ttth,7340120,4,1,21
A01,,,8.2,8.4,,,,7.0,,,ttth,7340120,4,1,22
A01,,,7.8,7.5,,,,8.0,,,ttth,7340120,4,1,23
A00,,,,6.5,,,,7.25,7.4,,ttth,7340120,4,1,24
A00,,,,8.4,,,,7.5,7.25,,ttth,7340120,4,1,25
A01,,,8.0,7.5,,,,8.6,,,ttth,7340120,4,1,26
A01,,,8.0,8.25,,,,7.4,,,ttth,7340120,4,1,27
A00,,,,8.2,,,,8.0,8.25,,ttth,7340120,4,1,28
A01,,,7.6,6.75,,,,8.2,,,ttth,7340120,4,1,29
A00,,,,7.5,,,,8.0,8.0,,ttth,7340120,4,1,30
D01,7.0,,7.2,8.25,,,,,,,ttth,7340120,4,1,31
A00,,,,7.75,,,,8.5,7.6,,ttth,7340120,4,1,32
A01,,,9.0,8.2,,,,7.0,,,ttth,7340120,4,1,33
D01,9.0,,6.8,7.8,,,,,,,ttth,7340120,4,1,34
A01,,,8.0,8.4,,,,7.25,,,ttth,7340120,4,1,35
A01,,,7.8,8.5,,,,7.4,,,ttth,7340120,4,1,36
D01,6.8,,8.0,8.25,,,,,,,ttth,7340120,4,1,37
D01,7.2,,7.4,7.5,,,,,,,ttth,7340120,4,1,38
D01,7.4,,7.6,6.5,,,,,,,ttth,7340120,4,1,39
A01,,,7.6,7.25,,,,8.6,,,ttth,7340120,4,1,40
D01,8.4,,7.4,9.25,,,,,,,ttth,7340120,4,1,41
D01,9.0,,7.4,6.0,,,,,,,ttth,7340120,4,1,42
D01,7.2,,6.8,9.0,,,,,,,ttth,7340120,4,1,43
A01,,,8.4,7.0,,,,7.6,,,ttth,7340120,4,1,44
D01,8.5,,7.2,8.0,,,,,,,ttth,7340120,4,1,45
D01,7.0,,8.4,8.2,,,,,,,ttth,7340120,4,1,46
A00,,,,7.75,,,,7.25,8.0,,ttth,7340120,4,1,47
A00,,,,7.75,,,,8.25,8.0,,ttth,7340120,4,1,48
A00,,,,7.5,,,,8.0,7.8,,ttth,7340120,4,1,49
A00,,,,8.0,,,,7.5,8.6,,ttth,7340120,4,1,50
A01,,,8.4,7.4,,,,7.75,,,ttth,7340120,4,1,51
D01,6.2,,7.6,7.5,,,,,,,ttth,7340120,4,1,52
D01,7.2,,6.6,7.75,,,,,,,ttth,7340120,4,1,53
D01,7.2,,7.8,7.5,,,,,,,ttth,7340120,4,1,54
A00,,,,9.0,,,,6.25,8.0,,ttth,7340120,4,1,55
D01,6.0,,8.0,7.5,,,,,,,ttth,7340120,4,1,56
A01,,,7.6,8.0,,,,7.4,,,ttth,7340120,4,1,57
A00,,,,8.0,,,,7.5,8.0,,ttth,7340120,4,1,58
A01,,,7.4,7.5,,,,6.8,,,ttth,7340120,4,1,59
D01,6.0,,6.0,9.5,,,,,,,ttth,7340120,4,1,60
A01,,,8.4,7.8,,,,7.25,,,ttth,7340120,4,1,61
A00,,,,7.5,,,,7.0,8.0,,ttth,7340120,4,1,62
A00,,,,7.8,,,,7.75,7.5,,ttth,7340120,4,1,63
D01,7.08,,9.0,7.6,,,,,,,ttth,7340120,4,1,64
D01,9.0,,8.4,6.8,,,,,,,ttth,7340120,4,1,65
A00,,,,8.2,,,,7.25,8.0,,ttth,7340120,4,1,66
A01,,,7.0,7.0,,,,9.0,,,ttth,7340122,5,1,0
A00,,,,7.0,,,,8.0,7.2,,ttth,7340122,5,1,1
D01,7.6,,7.6,9.25,,,,,,,ttth,7340122,5,1,2
D01,6.0,,7.0,8.75,,,,,,,ttth,7340122,5,1,3
A00,,,,8.25,,,,7.0,7.6,,ttth,7340122,5,1,4
D01,8.4,,7.6,7.25,,,,,,,ttth,7340122,5,1,5
A00,,,,7.0,,,,8.25,8.4,,ttth,7340122,5,1,6
A01,,,7.2,6.75,,,,8.0,,,ttth,7340122,5,1,7
A00,,,,6.75,,,,7.0,8.0,,ttth,7340122,5,1,8
A00,,,,6.0,,,,8.5,8.6,,ttth,7340122,5,1,9
A01,,,8.0,6.75,,,,8.0,,,ttth,7340122,5,1,10
A01,,,7.6,7.25,,,,7.4,,,ttth,7340122,5,1,11
D01,5.8,,8.2,8.5,,,,,,,ttth,7340122,5,1,12
A01,,,7.8,8.25,,,,7.2,,,ttth,7340122,5,1,13
A00,,,,6.75,,,,9.5,7.8,,ttth,7340122,5,1,14
D01,6.8,,7.6,8.75,,,,,,,ttth,7340122,5,1,15
A00,,,,7.0,,,,7.5,7.4,,ttth,7340122,5,1,16
A00,,,,7.25,,,,8.0,6.8,,ttth,7340122,5,1,17
D01,7.8,,7.2,8.0,,,,,,,ttth,7340122,5,1,18
D01,7.2,,7.6,7.75,,,,,,,ttth,7340122,5,1,19
D01,7.4,,8.6,6.25,,,,,,,ttth,7340122,5,1,20
D01,7.8,,7.6,8.25,,,,,,,ttth,7340122,5,1,21
D01,7.0,,7.8,6.75,,,,,,,ttth,7340122,5,1,22
D01,6.4,,7.2,8.0,,,,,,,ttth,7340122,5,1,23
D01,7.6,,5.2,9.0,,,,,,,ttth,7340122,5,1,24
D01,5.0,,8.0,9.0,,,,,,,ttth,7340122,5,1,25
D01,8.0,,6.4,7.75,,,,,,,ttth,7340122,5,1,26
D01,7.4,,7.6,7.25,,,,,,,ttth,7340122,5,1,27
D01,5.8,,8.2,7.75,,,,,,,ttth,7340122,5,1,28
A01,,,8.2,7.5,,,,7.8,,,ttth,7340122,5,1,29
A00,,,,7.0,,,,8.0,8.2,,ttth,7340122,5,1,30
A01,,,8.6,6.75,,,,7.8,,,ttth,7340122,5,1,31
A00,,,,7.75,,,,8.0,7.4,,ttth,7340122,5,1,32
A01,,,7.8,7.75,,,,7.8,,,ttth,7340122,5,1,33
A00,,,,7.75,,,,8.75,7.4,,ttth,7340122,5,1,34
A01,,,8.0,7.75,,,,7.6,,,ttth,7340122,5,1,35
A00,,,,7.75,,,,7.5,7.8,,ttth,7340122,5,1,36
A01,,,8.2,7.5,,,,7.8,,,ttth,7340122,5,1,37
D01,8.2,,7.2,7.5,,,,,,,ttth,7340122,5,1,38
D01,8.2,,7.4,8.75,,,,,,,ttth,7340122,5,1,39
A00,,,,7.25,,,,7.75,7.2,,ttth,7340122,5,1,40
D01,7.6,,7.4,7.25,,,,,,,ttth,7340122,5,1,41
D01,7.6,,7.4,8.0,,,,,,,ttth,7340122,5,1,42
A00,,,,7.0,,,,6.75,8.0,,ttth,7340122,5,1,43
D01,6.6,,7.4,8.0,,,,,,,ttth,7340122,5,1,44
D01,7.0,,7.6,8.25,,,,,,,ttth,7340122,5,1,45
D01,7.0,,7.0,8.41,,,,,,,ttth,7340122,5,1,46
