thoi_gian,nganh_hoc,gioi_tinh,to_hop_thi,likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,muc_tieu_ma,muc_tieu_nhan,ghi_chu_thieu_du_lieu
7/19/2026 6:48,Thương mại điện tử,Nam,"A01 (Toán, Lý, Anh)",1,3,1,1,1,1,1,1,1,2,,,8,9,,,,9,,,1,Đi làm,
7/19/2026 17:19,Thương mại điện tử,Nữ,"D01 (Toán, Văn, Anh)",4,4,4,4,3,4,4,4,4,4,8,,8,8,,,,,,,3,Kinh doanh,
7/19/2026 18:06,Đảm bảo chất lượng và an toàn thực phẩm,Nữ,"B00 (Toán, Hóa, Sinh)",2,3,2,3,4,4,2,4,3,1,,,,6,,,,,8,8.25,3,Kinh doanh,
7/19/2026 18:06,Công nghệ kỹ thuật điều khiển và TĐH,Nam,"C01 (Văn, Toán, Lý)",2,4,3,5,3,2,1,2,1,2,8.25,,,5.5,,,,9.5,,,1,Đi làm,
7/19/2026 18:07,Trí tuệ nhân tạo,Nam,"D01 (Toán, Văn, Anh)",2,5,4,5,4,2,1,1,2,2,7.25,,5.5,8.25,,,,,,,2,Nghiên cứu,
7/19/2026 18:07,Ngôn ngữ Anh,Nam,"D09 (Toán, Sử, Anh)",5,3,3,2,4,2,1,2,3,4,,,8,7.75,,,9.5,,,,3,Kinh doanh,
7/19/2026 18:08,Công nghệ chế biến thủy sản,Nam,"A00 (Toán, Lý, Hóa)",2,3,2,4,3,3,3,5,3,2,,,,9.5,,,,5.5,7.25,,1,Đi làm,
7/19/2026 18:08,Công nghệ thực phẩm,Nam,"B08 (Toán Sinh, Anh)",3,3,3,4,4,4,2,5,3,2,,,9.5,5.75,,,,,,7,3,Kinh doanh,
7/19/2026 18:08,Công nghệ chế tạo máy,Nữ,"A01 (Toán, Lý, Anh)",3,5,3,5,4,2,2,2,2,1,,,7,8,,,,9.5,,,1,Đi làm,
7/19/2026 18:09,Ngôn ngữ Trung Quốc,Nữ,"D14 (Văn, Anh, Sử)",4,3,5,2,5,1,2,2,3,4,6.5,,7.25,,,,9.25,,,,3,Kinh doanh,
7/19/2026 18:09,Kinh doanh quốc tế,Nam,"D01 (Toán, Văn, Anh)",4,3,4,5,3,1,2,1,3,3,7.25,,9,8.5,,,,,,,2,Nghiên cứu,
7/19/2026 18:10,Công nghệ kỹ thuật điều khiển và TĐH,Nữ,"A01 (Toán, Lý, Anh)",3,4,5,5,3,2,2,1,3,1,,,8,8.25,,,,5.5,,,1,Đi làm,
7/20/2026 12:29,Kỹ thuật nhiệt,Nam,"B00 (Toán, Hóa, Sinh)",4,1,4,3,3,4,4,4,3,4,,,,5.5,,,,,6,6,2,Nghiên cứu,
7/20/2026 12:31,Công nghệ kỹ thuật hóa học,Nam,"B00 (Toán, Hóa, Sinh)",5,1,5,5,5,5,5,5,5,3,,,,7.6,,,,,7.6,6.5,3,Kinh doanh,
7/20/2026 12:58,Công nghệ thông tin,Nam,"A00 (Toán, Lý, Hóa)",4,3,4,5,5,4,4,5,4,4,,,,8,,,,7.25,8,,3,Kinh doanh,
7/20/2026 14:07,Công nghệ kỹ thuật điện - điện tử,Nam,"A00 (Toán, Lý, Hóa)",3,3,3,3,3,3,3,4,3,3,,,,7.75,,,,8,6.5,,2,Nghiên cứu,
7/20/2026 14:10,Công nghệ kỹ thuật cơ điện tử,Nam,"A00 (Toán, Lý, Hóa)",3,3,3,3,3,3,3,3,5,5,,,,7,,,,7,7,,1,Đi làm,
7/20/2026 14:12,Công nghệ kỹ thuật điện - điện tử,Nam,"A00 (Toán, Lý, Hóa)",5,1,4,4,2,5,3,5,3,3,,,,7,,,,8,7.25,,1,Đi làm,
7/20/2026 14:13,Công nghệ kỹ thuật điện - điện tử,Nam,"A00 (Toán, Lý, Hóa)",3,3,3,3,3,3,3,3,3,3,,,,7,,,,7,7,,4,Chưa xác định,
7/20/2026 14:14,Công nghệ kỹ thuật điện - điện tử,Nam,"A00 (Toán, Lý, Hóa)",5,4,4,3,3,4,4,4,4,4,,,,7,,,,7,7,,4,Chưa xác định,
7/20/2026 14:17,Công nghệ chế tạo máy,Nam,"A00 (Toán, Lý, Hóa)",5,1,5,5,5,3,1,1,5,3,,,,8,,,,6,7,,3,Kinh doanh,
7/20/2026 14:22,Quản trị nhà hàng và dịch vụ ăn uống,Nam,"A00 (Toán, Lý, Hóa)",4,1,3,2,2,1,1,5,2,3,,,,6.25,,,,5.75,8,,1,Đi làm,
7/20/2026 14:22,Kế toán,Nam,"D07 (Toán, Hóa, Anh)",5,2,5,4,2,2,1,1,4,2,,,8.25,8.25,,,,,5.25,,1,Đi làm,
7/20/2026 14:22,Khoa học dinh dưỡng và ẩm thực,Nữ,"B08 (Toán Sinh, Anh)",2,3,3,4,3,4,3,4,3,1,,,6.25,8.5,,,,,,7.75,1,Đi làm,
7/20/2026 14:23,Ngôn ngữ Anh,Nữ,"D15 (Văn, Địa, Anh)",5,2,3,2,4,1,2,2,3,2,6,7.5,6.75,,,,,,,,3,Kinh doanh,
7/20/2026 14:24,Quản trị khách sạn,Nam,"A00 (Toán, Lý, Hóa)",4,2,2,2,2,2,1,4,2,3,,,,5,,,,7.25,5.5,,1,Đi làm,
7/20/2026 14:24,Trí tuệ nhân tạo,Nữ,"A01 (Toán, Lý, Anh)",1,4,3,5,3,2,2,2,1,1,,,8.75,6,,,,5,,,3,Kinh doanh,
7/20/2026 14:25,An toàn thông tin,Nữ,"X26 (Toán, Tin, Anh)",3,5,5,4,3,2,2,2,1,2,,,6,6,,8.75,,,,,1,Đi làm,
7/20/2026 14:25,Kỹ thuật nhiệt,Nữ,"D07 (Toán, Hóa, Anh)",4,1,4,5,4,2,1,2,3,1,,,7.5,6.25,,,,,7.25,,1,Đi làm,
7/20/2026 14:26,Ngôn ngữ Trung Quốc,Nam,"D14 (Văn, Anh, Sử)",4,3,5,2,5,1,2,2,2,3,6.75,,9.25,,,,8.5,,,,1,Đi làm,
7/20/2026 14:26,Công nghệ kỹ thuật điện - điện tử,Nữ,"A00 (Toán, Lý, Hóa)",1,4,4,4,3,1,2,2,1,1,,,,9,,,,5.5,8.25,,1,Đi làm,
7/20/2026 14:34,Công nghệ kỹ thuật điện - điện tử,Nam,"D01 (Toán, Văn, Anh)",3,4,4,4,4,4,4,2,1,1,6,,4,8,,,,,,,1,Đi làm,
7/20/2026 14:37,Công nghệ thực phẩm,Nữ,"B00 (Toán, Hóa, Sinh)",1,4,2,2,3,3,3,3,2,3,,,,8,,,,,7,7.5,1,Đi làm,
7/20/2026 14:42,Luật kinh tế,Nữ,"C00 (Văn, Sử, Địa)",3,2,1,1,2,1,4,4,2,3,8,8.5,,,,,9,,,,1,Đi làm,
7/20/2026 14:42,Luật kinh tế,Nữ,"C00 (Văn, Sử, Địa)",2,3,2,3,3,4,4,4,3,3,7.75,9,,,,,8.75,,,,1,Đi làm,
7/20/2026 14:51,Công nghệ thông tin,Nam,"A00 (Toán, Lý, Hóa)",5,1,5,5,5,5,5,3,5,5,,,,7.4,,,,7,7,,1,Đi làm,
7/20/2026 14:52,Công nghệ thông tin,Nam,"A00 (Toán, Lý, Hóa)",2,2,3,3,4,2,2,2,2,3,,,,6.8,,,,6.3,6.3,,4,Chưa xác định,
7/20/2026 14:56,Công nghệ thông tin,Nam,"D01 (Toán, Văn, Anh)",2,5,3,3,3,3,3,3,2,3,7,,7.8,7.2,,,,,,,1,Đi làm,
7/20/2026 14:56,Công nghệ thông tin,Nam,"D01 (Toán, Văn, Anh)",3,4,3,4,3,3,3,3,3,3,6.5,,8.7,6,,,,,,,1,Đi làm,
7/20/2026 14:58,Công nghệ thông tin,Nữ,"A00 (Toán, Lý, Hóa)",3,3,5,5,5,5,3,5,4,4,,,,7,,,,7,7,,2,Nghiên cứu,
7/20/2026 15:01,Công nghệ thông tin,Nam,"D01 (Toán, Văn, Anh)",3,2,3,4,4,3,4,3,4,3,7,,8,6,,,,,,,1,Đi làm,
7/20/2026 15:01,Công nghệ thông tin,Nữ,"D01 (Toán, Văn, Anh)",4,3,3,4,5,4,4,4,4,4,7,,8,8,,,,,,,1,Đi làm,
7/20/2026 15:24,An toàn thông tin,Nữ,"A00 (Toán, Lý, Hóa)",4,3,3,3,3,2,4,5,3,4,,,,9,,,,8,7,,1,Đi làm,
7/20/2026 17:01,Quản trị dịch vụ du lịch và lữ hành,Nữ,"C00 (Văn, Sử, Địa)",5,5,5,5,5,5,5,5,5,5,8.5,9.3,,,,,8,,,,4,Chưa xác định,
7/20/2026 17:04,Công nghệ kỹ thuật điều khiển và TĐH,Nam,"A00 (Toán, Lý, Hóa)",3,5,5,5,2,3,5,2,4,2,,,,8.2,,,,7.25,6.75,,1,Đi làm,
7/20/2026 17:07,Công nghệ thông tin,Nam,"A00 (Toán, Lý, Hóa)",2,4,3,3,4,4,3,4,2,4,,,,7,,,,7,6,,1,Đi làm,
7/20/2026 17:10,Công nghệ kỹ thuật hóa học,Nam,"A00 (Toán, Lý, Hóa)",4,4,3,4,5,4,4,4,3,4,,,,8.2,,,,6.5,9.3,,2,Nghiên cứu,
7/20/2026 17:10,Công nghệ kỹ thuật hóa học,Nam,"A00 (Toán, Lý, Hóa)",5,2,5,5,5,5,5,5,5,5,,,,8,,,,7,8.5,,2,Nghiên cứu,
7/20/2026 17:14,Logistics và quản lý chuỗi cung ứng,Nữ,"D01 (Toán, Văn, Anh)",3,5,4,2,3,2,4,5,3,2,8,,8,9,,,,,,,1,Đi làm,
7/20/2026 17:18,Quản trị kinh doanh,Nam,"A01 (Toán, Lý, Anh)",5,3,5,3,3,4,4,5,3,5,,,7.4,7.6,,,,7,,,2,Nghiên cứu,
7/20/2026 17:21,Thương mại điện tử,Nữ,"A00 (Toán, Lý, Hóa)",5,1,4,3,5,3,3,5,3,5,,,,7.5,,,,8.5,8,,3,Kinh doanh,
7/20/2026 17:23,Công nghệ kỹ thuật điện - điện tử,Nam,"A01 (Toán, Lý, Anh)",5,3,3,4,5,5,5,3,5,4,,,6.5,7.8,,,,7.4,,,1,Đi làm,
7/20/2026 17:25,Công nghệ kỹ thuật điều khiển và TĐH,Nam,"A00 (Toán, Lý, Hóa)",1,5,5,4,3,5,3,1,4,4,,,,7.5,,,,9.5,9,,1,Đi làm,
7/20/2026 19:14,Công nghệ thực phẩm,Nữ,"A00 (Toán, Lý, Hóa)",3,3,3,3,5,4,3,5,4,4,,,,8.3,,,,9.2,8.2,,1,Đi làm,
7/20/2026 19:15,Công nghệ thông tin,Nam,"A01 (Toán, Lý, Anh)",2,5,3,4,3,3,3,3,3,3,,,8,8,,,,8,,,1,Đi làm,
7/21/2026 15:25,Ngôn ngữ Anh,Nam,"D01 (Toán, Văn, Anh)",5,3,5,5,5,4,5,5,4,4,9,,8.2,8,,,,,,,1,Đi làm,
7/21/2026 15:28,An toàn thông tin,Nam,"A01 (Toán, Lý, Anh)",5,5,4,4,3,4,5,5,5,4,,,8,7.5,,,,7,,,3,Kinh doanh,
7/21/2026 15:29,Ngôn ngữ Anh,Nam,"D01 (Toán, Văn, Anh)",4,4,5,2,3,2,4,4,3,4,8,,9,7,,,,,,,2,Nghiên cứu,
7/21/2026 15:30,Ngôn ngữ Anh,Nam,"A01 (Toán, Lý, Anh)",4,3,3,3,4,3,4,3,4,3,,,10,9,,,,9,,,1,Đi làm,
7/21/2026 15:37,Ngôn ngữ Anh,Nam,"D15 (Văn, Địa, Anh)",5,3,5,3,5,4,5,5,4,5,8.75,9.25,6,,,,,,,,4,Chưa xác định,
7/21/2026 15:39,Ngôn ngữ Anh,Nữ,"D09 (Toán, Sử, Anh)",5,3,4,4,5,3,5,4,4,4,,,6.25,6.75,,,8,,,,1,Đi làm,
7/21/2026 16:01,Ngôn ngữ Anh,Nam,"D01 (Toán, Văn, Anh)",5,1,4,4,3,3,5,4,1,5,9.25,,7,8.9,,,,,,,3,Kinh doanh,
7/21/2026 18:51,Công nghệ kỹ thuật hóa học,Nam,"D07 (Toán, Hóa, Anh)",3,2,2,4,4,5,3,2,3,2,,,6,7.25,,,,,6.75,,1,Đi làm,
7/21/2026 18:52,Khoa học dữ liệu,Nam,"A01 (Toán, Lý, Anh)",3,4,3,4,4,1,1,2,3,2,,,6.75,6.25,,,,6.25,,,1,Đi làm,
7/21/2026 18:52,Tài chính ngân hàng,Nữ,"A00 (Toán, Lý, Hóa)",5,1,5,4,3,2,2,2,2,2,,,,6.25,,,,8.75,7.5,,1,Đi làm,
7/21/2026 18:53,Quản lý tài nguyên và môi trường,Nữ,"A00 (Toán, Lý, Hóa)",2,3,3,3,4,3,4,2,2,1,,,,5,,,,7.75,8.5,,1,Đi làm,
7/21/2026 18:53,Công nghệ kỹ thuật hóa học,Nữ,"A00 (Toán, Lý, Hóa)",3,2,2,3,4,4,2,2,3,2,,,,7.25,,,,5.5,9,,1,Đi làm,
7/21/2026 18:54,Khoa học chế biến món ăn,Nam,"C00 (Văn, Sử, Địa)",3,3,2,4,5,5,3,5,2,1,7.25,6.5,,,,,5.5,,,,1,Đi làm,
7/21/2026 18:54,Công nghệ kỹ thuật điều khiển và TĐH,Nam,"A01 (Toán, Lý, Anh)",3,1,3,4,3,2,2,2,3,1,,,6.75,8,,,,7,,,3,Kinh doanh,
7/21/2026 18:55,Quản trị khách sạn,Nam,"D01 (Toán, Văn, Anh)",5,1,2,3,3,2,1,5,2,2,6.5,,9.25,8.25,,,,,,,1,Đi làm,
7/21/2026 18:55,Quản trị dịch vụ du lịch và lữ hành,Nữ,"C00 (Văn, Sử, Địa)",4,2,3,2,2,2,2,5,2,3,8.75,5.75,,,,,5.75,,,,1,Đi làm,
7/21/2026 18:56,Trí tuệ nhân tạo,Nữ,"X26 (Toán, Tin, Anh)",2,4,4,5,5,1,2,1,3,1,,,6.75,6.5,,5.5,,,,,1,Đi làm,
7/22/2026 18:16,Thương mại điện tử,Nữ,"D01 (Toán, Văn, Anh)",4,2,4,3,2,2,2,2,4,3,7.75,,8.5,6.5,,,,,,,1,Đi làm,
7/22/2026 18:16,Quản lý Công nghiệp,Nữ,"D07 (Toán, Hóa, Anh)",4,2,3,5,3,1,2,2,4,2,,,5.25,5,,,,,7.5,,1,Đi làm,
7/22/2026 18:17,Kế toán,Nữ,"D07 (Toán, Hóa, Anh)",5,1,4,3,3,2,2,1,2,3,,,9,5.5,,,,,5.25,,3,Kinh doanh,
7/22/2026 18:18,Công nghệ sinh học,Nam,"D07 (Toán, Hóa, Anh)",2,2,2,5,5,5,2,3,2,2,,,7.5,5,,,,,6.25,,3,Kinh doanh,
7/22/2026 18:18,Luật,Nữ,"X01 (Toán, Văn, GDKT&PL)",4,3,2,5,5,1,1,1,5,1,9,,,5.25,8.75,,,,,,1,Đi làm,
7/22/2026 18:18,Quản lý Công nghiệp,Nữ,"D01 (Toán, Văn, Anh)",5,2,5,3,3,1,2,1,4,2,8.25,,8.25,6.75,,,,,,,1,Đi làm,
7/22/2026 18:19,Khoa học chế biến món ăn,Nữ,"A00 (Toán, Lý, Hóa)",3,3,2,5,3,5,2,4,3,1,,,,6.75,,,,5.5,8,,1,Đi làm,
7/22/2026 18:20,Quản trị dịch vụ du lịch và lữ hành,Nam,"A00 (Toán, Lý, Hóa)",4,1,3,2,3,1,2,5,2,2,,,,7.5,,,,5,9.5,,1,Đi làm,
7/22/2026 18:20,Ngôn ngữ Anh,Nam,"D14 (Văn, Anh, Sử)",5,3,4,2,5,2,1,2,2,3,5.75,,7.25,,,,5.25,,,,3,Kinh doanh,
7/22/2026 18:21,Công nghệ kỹ thuật cơ điện tử,Nữ,"A01 (Toán, Lý, Anh)",3,4,4,5,5,1,2,2,3,1,,,7.75,5.25,,,,6.25,,,1,Đi làm,
7/23/2026 1:57,Công nghệ thông tin,Nam,"A00 (Toán, Lý, Hóa)",3,3,1,1,2,1,2,2,2,1,,,,8,,,,6.25,8,,1,Đi làm,
7/23/2026 15:56,Marketing,Nữ,"D01 (Toán, Văn, Anh)",5,3,4,3,4,3,4,5,4,5,8,,7.8,7.6,,,,,,,1,Đi làm,
7/23/2026 15:58,Marketing,Nữ,"A00 (Toán, Lý, Hóa)",5,1,4,3,5,3,5,5,3,3,,,,8.3,,,,8.5,8,,4,Chưa xác định,
7/23/2026 16:01,Logistics và quản lý chuỗi cung ứng,Nữ,"D07 (Toán, Hóa, Anh)",3,2,4,3,3,4,3,3,4,3,,,7.75,8,,,,,8.25,,1,Đi làm,
7/23/2026 16:03,Công nghệ thông tin,Nam,"A01 (Toán, Lý, Anh)",3,4,4,3,5,4,5,5,5,4,,,8,8.4,,,,8,,,1,Đi làm,
7/25/2026 20:09,Công nghệ tài chính,Nữ,"D07 (Toán, Hóa, Anh)",5,2,5,5,3,2,2,1,2,2,,,5.25,6.25,,,,,6.25,,1,Đi làm,
7/25/2026 20:10,Khoa học dinh dưỡng và ẩm thực,Nam,"D07 (Toán, Hóa, Anh)",2,2,2,5,3,5,3,5,2,2,,,9.25,9.5,,,,,5,,1,Đi làm,
7/25/2026 20:11,Du lịch,Nam,"D01 (Toán, Văn, Anh)",5,1,3,2,3,2,2,3,3,3,9,,7.25,9.5,,,,,,,1,Đi làm,
7/25/2026 20:11,Công nghệ kỹ thuật điều khiển và TĐH,Nữ,"D07 (Toán, Hóa, Anh)",1,4,3,5,3,2,2,2,1,1,,,6.5,9.5,,,,,8,,3,Kinh doanh,
7/25/2026 20:11,Công nghệ tài chính,Nam,"A00 (Toán, Lý, Hóa)",4,2,3,5,2,1,1,2,4,2,,,,5.25,,,,7.75,7.25,,1,Đi làm,
7/25/2026 20:11,Công nghệ kỹ thuật điện - điện tử,Nam,"A00 (Toán, Lý, Hóa)",1,4,3,5,5,2,2,2,2,2,,,,8.75,,,,5.75,8.25,,1,Đi làm,
7/25/2026 20:12,Khoa học dữ liệu,Nữ,"D07 (Toán, Hóa, Anh)",4,2,4,4,3,1,1,1,3,2,,,5,7.75,,,,,7,,1,Đi làm,
7/25/2026 20:13,Công nghệ kỹ thuật cơ điện tử,Nam,"A00 (Toán, Lý, Hóa)",3,1,4,5,4,1,2,1,1,2,,,,7.25,,,,6.75,7.25,,1,Đi làm,
7/25/2026 20:13,Công nghệ tài chính,Nam,"A00 (Toán, Lý, Hóa)",5,2,4,3,3,2,1,2,4,2,,,,9.5,,,,8.5,6.75,,1,Đi làm,
7/25/2026 20:14,Quản trị kinh doanh thực phẩm,Nam,"A01 (Toán, Lý, Anh)",3,2,2,5,4,3,2,4,3,2,,,9.5,5.25,,,,8.5,,,3,Kinh doanh,
8/10/2026 9:14,Công nghệ thông tin,Nam,"D01 (Toán, Văn, Anh)",3,3,4,3,4,2,4,4,4,3,7.75,,7.4,7,,,,,,,1,Đi làm,
8/10/2026 11:38,Khoa học chế biến món ăn,Nữ,"D07 (Toán, Hóa, Anh)",3,3,3,5,5,3,1,5,5,4,,,9.2,8,,,,,9.7,,3,Kinh doanh,
8/10/2026 11:40,Công nghệ thực phẩm,Nữ,"A00 (Toán, Lý, Hóa)",3,3,3,3,3,3,3,3,3,3,,,,10,,,,9,8,,1,Đi làm,
8/10/2026 11:40,Đảm bảo chất lượng và an toàn thực phẩm,Nữ,"A00 (Toán, Lý, Hóa)",3,3,3,3,4,4,4,4,4,4,,,,8,,,,8,6,,1,Đi làm,
8/10/2026 11:42,Công nghệ kỹ thuật điều khiển và TĐH,Nam,"A01 (Toán, Lý, Anh)",3,3,3,4,4,5,2,5,3,1,,,6,7.5,,,,7,,,4,Chưa xác định,
8/10/2026 11:44,Công nghệ thực phẩm,Nữ,"B00 (Toán, Hóa, Sinh)",2,4,3,4,3,5,4,5,3,4,,,,7.4,,,,,8.5,8,2,Nghiên cứu,
8/10/2026 11:51,Công nghệ thông tin,Nữ,"A00 (Toán, Lý, Hóa)",2,5,3,3,3,3,3,3,3,3,,,,8,,,,8,8,,1,Đi làm,
8/10/2026 11:51,Kỹ thuật nhiệt,Nam,"A00 (Toán, Lý, Hóa)",2,5,4,5,4,4,4,5,5,5,,,,6,,,,6,6,,1,Đi làm,
8/10/2026 11:52,Kỹ thuật nhiệt,Nam,"A00 (Toán, Lý, Hóa)",5,5,5,5,5,5,5,5,5,5,,,,6,,,,6,6,,1,Đi làm,
8/10/2026 11:53,Kế toán,Nữ,"D01 (Toán, Văn, Anh)",3,3,4,3,4,2,4,4,4,4,8,,8.3,7.5,,,,,,,3,Kinh doanh,
8/10/2026 11:53,Tài chính ngân hàng,Nữ,"A01 (Toán, Lý, Anh)",3,4,3,3,3,2,2,1,3,4,,,6.25,6.5,,,,8.3,,,1,Đi làm,
8/10/2026 11:54,Kỹ thuật nhiệt,Nam,"A00 (Toán, Lý, Hóa)",3,4,5,3,4,5,3,3,1,4,,,,6,,,,5,6,,3,Kinh doanh,
8/10/2026 11:54,Tài chính ngân hàng,Nữ,"A00 (Toán, Lý, Hóa)",3,2,4,5,3,3,3,5,4,4,,,,6.35,,,,7.25,7.75,,1,Đi làm,
8/10/2026 11:57,Công nghệ tài chính,Nam,"D01 (Toán, Văn, Anh)",1,1,1,1,1,1,1,1,1,1,8.5,,6.5,7.6,,,,,,,1,Đi làm,
8/10/2026 11:59,Công nghệ tài chính,Nam,"D01 (Toán, Văn, Anh)",1,1,3,5,4,4,4,2,2,3,6,,7.5,8.5,,,,,,,1,Đi làm,
8/10/2026 12:00,Công nghệ thông tin,Nam,"A00 (Toán, Lý, Hóa)",2,4,3,3,2,1,2,3,2,3,,,,8,,,,8,6,,3,Kinh doanh,
8/10/2026 12:04,Kỹ thuật nhiệt,Nam,"A00 (Toán, Lý, Hóa)",1,1,3,4,5,3,3,3,2,3,,,,7,,,,5,8,,1,Đi làm,
8/11/2026 11:10,Công nghệ thông tin,Nam,"A01 (Toán, Lý, Anh)",4,4,4,4,3,4,5,5,4,5,,,7.8,8,,,,8,,,1,Đi làm,
8/11/2026 12:28,Công nghệ thông tin,Nam,"D01 (Toán, Văn, Anh)",3,3,2,3,3,3,3,3,3,3,6,,6,8,,,,,,,1,Đi làm,
8/11/2026 12:30,Công nghệ tài chính,Nam,"A00 (Toán, Lý, Hóa)",3,3,3,3,3,3,3,3,3,3,,,,7.2,,,,8,7.5,,1,Đi làm,
8/11/2026 12:30,Công nghệ tài chính,Nam,"D07 (Toán, Hóa, Anh)",5,5,5,5,5,5,5,5,5,5,,,9,9,,,,,9,,3,Kinh doanh,
