ma_nganh,nganh_hoc,ma_khoi_nganh,ten_khoi_nganh,to_hop_thi,gioi_tinh,likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,diem_Toan,diem_Ly,diem_Hoa,diem_Anh,diem_Van,diem_Su,diem_Sinh,diem_Dia,diem_Gdktpl,diem_Tin,muc_tieu_ma,muc_tieu_nhan,nguon_du_lieu,is_real,w_nguon,w_lop,sample_weight
7340115,Marketing,1,Kinh doanh & Quản lý,A00,Nam,3,3,5,5,5,5,5,5,5,5,6.75,8.75,8.25,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8091095766607712,10.428223709690972
7480107,Trí tuệ nhân tạo,0,CNTT & Máy tính,C01,Nam,2,2,4,4,4,4,2,5,1,5,9.0,8.0,,,9.0,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.2368741258075882,15.941474995120211
7220204,Ngôn ngữ Trung Quốc,6,Ngoại ngữ,D01,Nu,5,2,3,3,5,2,4,5,5,3,8.5,,,8.0,8.4,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.9874924870578896,12.727315142132177
7340122,Thương mại điện tử,1,Kinh doanh & Quản lý,A00,Nu,4,2,3,3,2,1,2,1,2,2,5.25,9.25,5.75,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.1039176330851415,14.227862785155134
7340301,Kế toán,1,Kinh doanh & Quản lý,D01,Nu,3,5,3,3,4,2,3,5,5,2,6.5,,,6.5,7.0,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.7833972464749971,10.096829867609294
7340120,Kinh doanh quốc tế,1,Kinh doanh & Quản lý,A01,Nam,4,1,4,4,2,1,2,1,4,3,6.0,7.75,,8.75,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8923815520650734,11.501476101348208
7540101,Công nghệ thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",D07,Nu,2,4,4,4,5,5,3,4,5,4,7.8,,8.75,6.5,,,,,,,2,Nghiên cứu,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
7340301,Kế toán,1,Kinh doanh & Quản lý,C01,Nu,2,4,2,3,3,3,2,3,3,4,8.6,7.5,,,9.0,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.7833972464749971,10.096829867609294
7850101,Quản lý tài nguyên và môi trường,4,"Thực phẩm, Sinh học & Môi trường",A00,Nam,3,3,3,3,3,2,4,3,3,1,7.75,7.0,5.25,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.3993877922811309,18.036035384409416
7420201,Công nghệ sinh học,4,"Thực phẩm, Sinh học & Môi trường",B08,Nu,5,1,5,5,5,5,5,5,5,5,7.75,,,5.0,,,9.0,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8708927878129367,11.224517766741764
7340201,Tài chính ngân hàng,1,Kinh doanh & Quản lý,A01,Nu,3,5,4,4,5,5,4,4,3,5,7.0,6.0,,8.0,,,,,,,2,Nghiên cứu,khaosat_that,1,24.034843205574912,0.8091095766607712,10.428223709690972
7510202,Công nghệ chế tạo máy,3,Kỹ thuật & Công nghệ,D01,Nam,4,3,4,3,5,4,4,4,3,4,5.5,,,4.5,7.0,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.0220054747262495,13.172136420581039
7520115,Kỹ thuật nhiệt,3,Kỹ thuật & Công nghệ,B00,Nam,2,5,4,3,2,2,3,2,3,2,7.0,,7.75,,,,6.25,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.1997835801190715,15.463432812563607
7340115,Marketing,1,Kinh doanh & Quản lý,A01,Nu,4,4,4,2,5,3,2,3,3,3,7.0,8.0,,7.0,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8091095766607712,10.428223709690972
7340101,Quản trị kinh doanh,1,Kinh doanh & Quản lý,A01,Nu,4,3,3,3,3,4,5,5,3,5,9.0,7.0,,7.0,,,,,,,3,Kinh doanh,khaosat_that,1,24.034843205574912,0.8182598428351611,10.546157084133975
7810103,Quản trị dịch vụ du lịch và lữ hành,2,"Du lịch, Khách sạn & Ẩm thực",A01,Nam,4,1,2,2,3,1,1,5,2,3,7.75,8.5,,7.75,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.9400147601527897,12.115397582785855
7420201,Công nghệ sinh học,4,"Thực phẩm, Sinh học & Môi trường",B00,Nam,2,5,4,4,4,4,4,5,4,3,8.0,,8.0,,,,8.5,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8708927878129367,11.224517766741764
7520115,Kỹ thuật nhiệt,3,Kỹ thuật & Công nghệ,A00,Nam,5,5,3,3,3,3,3,4,4,5,7.0,6.0,8.0,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.1997835801190715,15.463432812563607
7480201,Công nghệ thông tin,0,CNTT & Máy tính,A00,Nu,3,2,3,3,3,3,3,3,3,3,8.8,7.0,7.0,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
7510401,Công nghệ kỹ thuật hóa học,3,Kỹ thuật & Công nghệ,A01,Nam,2,3,2,5,4,5,2,3,3,1,6.0,8.75,,9.0,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8917400193165795,11.493207694680725
7420201,Công nghệ sinh học,4,"Thực phẩm, Sinh học & Môi trường",A00,Nu,3,3,2,4,3,3,3,1,4,1,8.0,6.75,5.25,,,,,,,,4,Chưa xác định,khaosat_that,1,24.034843205574912,0.8708927878129367,11.224517766741764
7540101,Công nghệ thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",D01,Nu,3,2,3,2,4,2,2,4,3,3,6.5,,,7.0,7.0,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
7340301,Kế toán,1,Kinh doanh & Quản lý,C01,Nu,4,5,5,4,4,3,4,3,3,5,4.0,4.0,,,7.5,,,,,,4,Chưa xác định,khaosat_that,1,24.034843205574912,0.7833972464749971,10.096829867609294
7340101,Quản trị kinh doanh,1,Kinh doanh & Quản lý,X01,Nu,3,4,2,4,3,1,1,2,4,3,6.0,,,,7.75,,,,8.0,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8182598428351611,10.546157084133975
7510402,Công nghệ vật liệu,3,Kỹ thuật & Công nghệ,C01,Nam,4,4,4,2,4,2,4,4,2,4,5.5,7.75,,,8.0,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.1772041393953667,15.172417274126568
7510601,Quản lý Công nghiệp,1,Kinh doanh & Quản lý,A00,Nu,3,3,2,4,4,3,3,2,3,2,8.25,7.6,7.75,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.5507124244489838,19.986385698572963
7480107,Trí tuệ nhân tạo,0,CNTT & Máy tính,A00,Nam,3,3,5,4,4,1,1,2,2,1,6.75,7.0,5.5,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.2368741258075882,15.941474995120211
7540101,Công nghệ thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",A00,Nu,3,3,3,3,5,4,3,5,4,4,8.3,9.2,8.2,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
7480201,Công nghệ thông tin,0,CNTT & Máy tính,D01,Nam,2,5,3,3,3,3,3,3,2,3,7.2,,,7.8,7.0,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
7340115,Marketing,1,Kinh doanh & Quản lý,D07,Nam,5,1,3,5,3,2,1,1,4,3,8.25,,9.0,5.25,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8091095766607712,10.428223709690972
7340101,Quản trị kinh doanh,1,Kinh doanh & Quản lý,C02,Nu,3,3,4,3,3,3,3,3,3,5,6.5,,5.85,,5.75,,,,,,3,Kinh doanh,khaosat_that,1,24.034843205574912,0.8182598428351611,10.546157084133975
7340123,Kinh doanh thời trang và dệt may,1,Kinh doanh & Quản lý,D01,Nu,3,3,4,2,2,1,1,2,3,5,9.5,,,9.0,5.5,,,,,,3,Kinh doanh,khaosat_that,1,24.034843205574912,1.4377034711558565,18.529867718644464
7510303,Công nghệ kỹ thuật điều khiển và TĐH,3,Kỹ thuật & Công nghệ,A01,Nam,3,3,3,4,4,5,2,5,3,1,7.5,7.0,,6.0,,,,,,,4,Chưa xác định,khaosat_that,1,24.034843205574912,0.8375320892526682,10.794547787726298
7540106,Đảm bảo chất lượng và an toàn thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",A00,Nu,3,3,3,3,4,4,4,4,4,4,8.0,8.0,6.0,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.1809215270627325,15.2203288936762
7340201,Tài chính ngân hàng,1,Kinh doanh & Quản lý,A00,Nu,3,2,4,5,3,2,2,3,4,5,6.35,7.25,7.75,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8091095766607712,10.428223709690972
7480202,An toàn thông tin,0,CNTT & Máy tính,A01,Nam,4,2,4,4,4,4,4,4,4,4,8.5,7.0,,6.25,,,,,,,3,Kinh doanh,khaosat_that,1,24.034843205574912,0.9175496842894388,11.825856037961916
7510203,Công nghệ kỹ thuật cơ điện tử,3,Kỹ thuật & Công nghệ,A01,Nam,3,3,3,3,3,2,3,3,3,3,5.0,7.0,,7.0,,,,,,,4,Chưa xác định,khaosat_that,1,24.034843205574912,0.8892794233388177,11.46149425801475
7510303,Công nghệ kỹ thuật điều khiển và TĐH,3,Kỹ thuật & Công nghệ,A01,Nu,3,4,5,5,3,2,2,1,3,1,8.25,5.5,,8.0,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8375320892526682,10.794547787726298
7540101,Công nghệ thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",A00,Nu,2,4,4,4,4,5,5,4,3,4,6.0,6.75,6.75,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
7340205,Công nghệ tài chính,1,Kinh doanh & Quản lý,A00,Nu,3,3,4,4,1,3,1,1,3,3,7.0,7.0,8.0,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.205933356845988,15.542694323393338
7540101,Công nghệ thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",B00,Nu,3,4,3,3,3,4,4,4,4,4,7.3,,8.0,,,,7.5,,,,2,Nghiên cứu,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
7340301,Kế toán,1,Kinh doanh & Quản lý,A01,Nu,1,4,3,4,3,2,3,4,2,4,7.3,7.0,,6.3,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.7833972464749971,10.096829867609294
7540101,Công nghệ thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",B00,Nam,3,5,4,3,3,3,3,5,3,4,7.0,,6.0,,,,7.0,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
7460108,Khoa học dữ liệu,0,CNTT & Máy tính,C01,Nam,2,3,3,5,4,3,2,1,4,5,8.5,7.0,,,6.25,,,,,,2,Nghiên cứu,khaosat_that,1,24.034843205574912,1.3897374868094585,17.911657244255913
7340123,Kinh doanh thời trang và dệt may,1,Kinh doanh & Quản lý,A01,Nu,2,2,5,2,3,2,1,2,2,5,7.25,8.0,,7.25,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.4377034711558565,18.529867718644464
7510203,Công nghệ kỹ thuật cơ điện tử,3,Kỹ thuật & Công nghệ,A01,Nam,1,5,3,4,5,2,2,1,3,2,7.25,6.75,,7.75,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8892794233388177,11.46149425801475
7520115,Kỹ thuật nhiệt,3,Kỹ thuật & Công nghệ,D01,Nam,5,5,5,5,5,5,5,4,5,5,8.25,,,5.0,2.5,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.1997835801190715,15.463432812563607
7380107,Luật kinh tế,5,Luật,C00,Nu,2,3,2,3,3,4,4,4,3,3,,,,,7.75,8.75,,9.0,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8375320892526682,10.794547787726298
7540106,Đảm bảo chất lượng và an toàn thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",A00,Nam,2,1,5,3,4,5,3,5,1,4,6.75,5.25,6.75,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.1809215270627325,15.2203288936762
7540101,Công nghệ thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",B00,Nu,3,4,4,3,4,3,3,4,3,2,6.0,,5.0,,,,5.0,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
7510401,Công nghệ kỹ thuật hóa học,3,Kỹ thuật & Công nghệ,A00,Nu,3,4,5,5,5,5,4,5,4,4,7.0,7.5,6.5,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8917400193165795,11.493207694680725
7380101,Luật,5,Luật,D01,Nu,4,2,2,5,4,1,1,1,4,2,7.5,,,8.25,8.0,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.4377034711558565,18.529867718644464
7540101,Công nghệ thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",A00,Nu,4,3,3,4,4,3,4,4,3,4,7.0,7.5,7.75,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
7510301,Công nghệ kỹ thuật điện - điện tử,3,Kỹ thuật & Công nghệ,A00,Nam,4,2,4,4,5,2,1,1,1,1,8.25,6.0,8.5,,,,,,,,3,Kinh doanh,khaosat_that,1,24.034843205574912,0.8288766335138786,10.68299178671351
7810103,Quản trị dịch vụ du lịch và lữ hành,2,"Du lịch, Khách sạn & Ẩm thực",A01,Nam,5,1,2,3,3,1,2,3,3,2,9.0,6.5,,5.75,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.9400147601527897,12.115397582785855
7540101,Công nghệ thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",C00,Nu,3,3,4,4,3,1,1,5,2,3,,,,,7.0,8.25,,7.75,,,3,Kinh doanh,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
7340115,Marketing,1,Kinh doanh & Quản lý,D01,Nu,5,4,5,3,5,5,3,4,5,5,7.0,,,6.75,8.25,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8091095766607712,10.428223709690972
7510402,Công nghệ vật liệu,3,Kỹ thuật & Công nghệ,A00,Nam,2,4,3,3,4,5,4,2,3,3,8.0,5.75,7.75,,,,,,,,4,Chưa xác định,khaosat_that,1,24.034843205574912,1.1772041393953667,15.172417274126568
7510303,Công nghệ kỹ thuật điều khiển và TĐH,3,Kỹ thuật & Công nghệ,A00,Nam,3,5,5,5,2,3,5,2,4,2,8.2,7.25,6.75,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8375320892526682,10.794547787726298
7510203,Công nghệ kỹ thuật cơ điện tử,3,Kỹ thuật & Công nghệ,A00,Nam,3,1,4,5,4,1,2,1,1,2,7.25,6.75,7.25,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8892794233388177,11.46149425801475
7540101,Công nghệ thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",B00,Nu,2,4,3,3,4,4,4,4,3,3,5.5,,8.25,,,,6.6,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
7810103,Quản trị dịch vụ du lịch và lữ hành,2,"Du lịch, Khách sạn & Ẩm thực",C00,Nu,1,5,4,4,4,4,4,4,4,4,,,,,7.5,8.0,,8.0,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.9400147601527897,12.115397582785855
7340205,Công nghệ tài chính,1,Kinh doanh & Quản lý,A01,Nu,5,2,5,3,3,1,1,2,4,2,5.25,5.25,,8.25,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.205933356845988,15.542694323393338
7540204,"Công nghệ dệt, may",3,Kỹ thuật & Công nghệ,C03,Nu,5,4,5,1,5,4,5,1,5,5,5.0,,,,7.75,6.75,,,,,2,Nghiên cứu,khaosat_that,1,24.034843205574912,1.0800609166372626,13.920385054976874
7480201,Công nghệ thông tin,0,CNTT & Máy tính,A01,Nu,3,4,4,4,4,4,4,4,4,4,7.5,6.5,,7.0,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
7540204,"Công nghệ dệt, may",3,Kỹ thuật & Công nghệ,A01,Nu,3,2,4,3,2,1,2,3,2,4,8.5,6.5,,8.75,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.0800609166372626,13.920385054976874
7540204,"Công nghệ dệt, may",3,Kỹ thuật & Công nghệ,A01,Nu,3,3,1,3,3,3,2,3,3,3,5.75,7.25,,4.0,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.0800609166372626,13.920385054976874
7340129,Quản trị kinh doanh thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",A00,Nam,2,3,3,2,3,2,2,4,3,4,5.5,6.0,5.5,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.1432699806019775,14.735056242314176
7480201,Công nghệ thông tin,0,CNTT & Máy tính,D01,Nam,3,4,3,4,3,3,3,3,3,3,6.0,,,8.7,6.5,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
7810103,Quản trị dịch vụ du lịch và lữ hành,2,"Du lịch, Khách sạn & Ẩm thực",D01,Nam,3,2,1,2,1,3,3,1,2,2,8.0,,,6.5,8.25,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.9400147601527897,12.115397582785855
7340205,Công nghệ tài chính,1,Kinh doanh & Quản lý,A00,Nu,3,3,5,3,3,3,5,4,3,3,8.0,7.0,7.0,,,,,,,,3,Kinh doanh,khaosat_that,1,24.034843205574912,1.205933356845988,15.542694323393338
7340115,Marketing,1,Kinh doanh & Quản lý,D01,Nu,4,1,4,5,2,1,1,1,3,2,6.0,,,7.0,7.25,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.8091095766607712,10.428223709690972
7340120,Kinh doanh quốc tế,1,Kinh doanh & Quản lý,A01,Nu,3,3,5,4,4,4,4,5,4,3,6.0,7.5,,5.0,,,,,,,3,Kinh doanh,khaosat_that,1,24.034843205574912,0.8923815520650734,11.501476101348208
7819009,Khoa học dinh dưỡng và ẩm thực,2,"Du lịch, Khách sạn & Ẩm thực",B00,Nam,4,1,3,3,5,4,5,4,3,3,7.25,,5.35,,,,4.75,,,,2,Nghiên cứu,khaosat_that,1,24.034843205574912,1.4377034711558565,18.529867718644464
7340205,Công nghệ tài chính,1,Kinh doanh & Quản lý,A00,Nam,4,2,3,5,2,1,1,2,4,2,5.25,7.75,7.25,,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,1.205933356845988,15.542694323393338
7540101,Công nghệ thực phẩm,4,"Thực phẩm, Sinh học & Môi trường",D07,Nu,2,2,3,4,2,2,2,2,2,3,4.25,,8.75,7.2,,,,,,,1,Đi làm,khaosat_that,1,24.034843205574912,0.6731363939880463,8.67573083563326
