thoi_gian,nganh_hoc,gioi_tinh,to_hop_thi,likert_nang_dong,likert_huong_noi,likert_sang_tao,likert_logic,likert_to_mo,likert_thi_nghiem,likert_moi_truong,likert_dinh_duong,likert_tranh_luan,likert_thiet_ke,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,muc_tieu_ma,muc_tieu_nhan,ghi_chu_thieu_du_lieu,ma_nganh,ma_khoi_nganh,ten_khoi_nganh
8/14/2026 11:56,Trí tuệ nhân tạo,Nam,X26,3,3,5,5,3,2,1,2,1,1,,,6.0,5.5,,9.0,,,,,3,Kinh doanh,,7480107,0,CNTT & Máy tính
8/13/2026 13:15,Khoa học dinh dưỡng và ẩm thực,Nữ,D07,2,2,2,4,5,4,3,4,2,2,,,9.5,7.0,,,,,6.5,,1,Đi làm,,7819009,2,"Du lịch, Khách sạn & Ẩm thực"
8/13/2026 13:51,Công nghệ chế biến thủy sản,Nữ,B00,3,2,3,4,3,3,3,4,2,1,,,,7.5,,,,,8.5,6.25,1,Đi làm,,7540105,4,"Thực phẩm, Sinh học & Môi trường"
8/14/2026 10:21,Luật,Nữ,C00,2,5,2,1,4,4,3,5,1,2,7.0,5.0,,,,,6.75,,,,1,Đi làm,,7380101,5,Luật
8/14/2026 22:01,Quản trị kinh doanh,Nam,A00,4,2,3,5,2,2,1,1,2,2,,,,5.75,,,,9.25,8.0,,1,Đi làm,,7340101,1,Kinh doanh & Quản lý
7/18/2026 13:07,Công nghệ thông tin,Nam,A01,2,4,3,5,4,2,2,2,3,2,,,8.6,7.5,,,,8.5,,,1,Đi làm,,7480201,0,CNTT & Máy tính
8/11/2026 15:57,Công nghệ sinh học,Nữ,B00,3,4,3,4,4,4,4,4,4,4,,,,7.8,,,,,7.0,7.5,1,Đi làm,,7420201,4,"Thực phẩm, Sinh học & Môi trường"
8/12/2026 16:36,Công nghệ chế tạo máy,Nữ,D07,2,4,4,4,3,1,2,1,3,1,,,7.5,5.5,,,,,9.0,,2,Nghiên cứu,,7510202,3,Kỹ thuật & Công nghệ
8/11/2026 13:58,Công nghệ thực phẩm,Nữ,A00,2,3,3,3,3,4,3,4,4,4,,,,6.0,,,,7.0,8.0,,1,Đi làm,,7540101,4,"Thực phẩm, Sinh học & Môi trường"
7/20/2026 17:23,Công nghệ kỹ thuật điện - điện tử,Nam,A01,5,3,3,4,5,5,5,3,5,4,,,6.5,7.8,,,,7.4,,,1,Đi làm,,7510301,3,Kỹ thuật & Công nghệ
8/15/2026 19:56,Quản trị kinh doanh,Nữ,D07,5,2,4,4,2,2,2,1,4,2,,,5.5,5.0,,,,,8.75,,1,Đi làm,,7340101,1,Kinh doanh & Quản lý
8/11/2026 13:18,Khoa học dữ liệu,Nữ,A00,3,5,3,2,3,5,5,5,2,5,,,,9.2,,,,8.5,8.2,,4,Chưa xác định,,7460108,0,CNTT & Máy tính
8/14/2026 10:15,Công nghệ thông tin,Nữ,D01,1,4,3,4,4,5,4,2,3,3,6.25,,6.25,8.0,,,,,,,1,Đi làm,,7480201,0,CNTT & Máy tính
8/12/2026 16:18,Công nghệ kỹ thuật điện - điện tử,Nam,D01,3,3,5,4,5,5,5,4,4,4,6.0,,7.0,6.0,,,,,,,1,Đi làm,,7510301,3,Kỹ thuật & Công nghệ
8/11/2026 13:16,Công nghệ kỹ thuật hóa học,Nữ,A00,3,3,5,3,4,3,3,4,2,5,,,,5.75,,,,6.25,7.0,,1,Đi làm,,7510401,3,Kỹ thuật & Công nghệ
8/11/2026 12:35,Công nghệ sinh học,Nam,B00,2,5,2,4,4,4,3,4,3,1,,,,6.0,,,,,6.0,7.0,1,Đi làm,,7420201,4,"Thực phẩm, Sinh học & Môi trường"
7/20/2026 14:26,Công nghệ kỹ thuật điện - điện tử,Nữ,A00,1,4,4,4,3,1,2,2,1,1,,,,9.0,,,,5.5,8.25,,1,Đi làm,,7510301,3,Kỹ thuật & Công nghệ
8/13/2026 16:29,Công nghệ kỹ thuật điện - điện tử,Nam,A01,5,1,5,5,1,1,1,1,5,1,,,6.0,5.0,,,,6.0,,,1,Đi làm,,7510301,3,Kỹ thuật & Công nghệ
8/11/2026 13:08,Ngôn ngữ Trung Quốc,Nữ,C00,4,5,3,3,4,4,4,5,4,4,8.5,9.5,,,,,8.5,,,,1,Đi làm,,7220204,6,Ngoại ngữ
7/22/2026 18:20,Ngôn ngữ Anh,Nam,D14,5,3,4,2,5,2,1,2,2,3,5.75,,7.25,,,,5.25,,,,3,Kinh doanh,,7220201,6,Ngoại ngữ
8/10/2026 11:53,Kế toán,Nữ,D01,3,3,4,3,4,2,4,4,4,4,8.0,,8.3,7.5,,,,,,,3,Kinh doanh,,7340301,1,Kinh doanh & Quản lý
8/11/2026 15:32,Thương mại điện tử,Nữ,A00,2,4,2,3,2,4,3,2,5,3,,,,8.0,,,,8.0,8.0,,2,Nghiên cứu,,7340122,1,Kinh doanh & Quản lý
8/12/2026 15:26,Marketing,Nam,A00,3,3,5,5,5,5,5,5,5,5,,,,6.75,,,,8.75,8.25,,1,Đi làm,,7340115,1,Kinh doanh & Quản lý
8/13/2026 10:40,Trí tuệ nhân tạo,Nam,C01,2,2,4,4,4,4,2,5,1,5,9.0,,,9.0,,,,8.0,,,1,Đi làm,,7480107,0,CNTT & Máy tính
8/13/2026 10:05,Ngôn ngữ Trung Quốc,Nữ,D01,5,2,3,3,5,2,4,5,5,3,8.4,,8.0,8.5,,,,,,,1,Đi làm,,7220204,6,Ngoại ngữ
8/14/2026 22:04,Thương mại điện tử,Nữ,A00,4,2,3,3,2,1,2,1,2,2,,,,5.25,,,,9.25,5.75,,1,Đi làm,,7340122,1,Kinh doanh & Quản lý
8/11/2026 12:59,Kế toán,Nữ,D01,3,5,3,3,4,2,3,5,5,2,7.0,,6.5,6.5,,,,,,,1,Đi làm,,7340301,1,Kinh doanh & Quản lý
8/14/2026 11:22,Kinh doanh quốc tế,Nam,A01,4,1,4,4,2,1,2,1,4,3,,,8.75,6.0,,,,7.75,,,1,Đi làm,,7340120,1,Kinh doanh & Quản lý
8/11/2026 15:22,Công nghệ thực phẩm,Nữ,D07,2,4,4,4,5,5,3,4,5,4,,,6.5,7.8,,,,,8.75,,2,Nghiên cứu,,7540101,4,"Thực phẩm, Sinh học & Môi trường"
8/11/2026 12:58,Kế toán,Nữ,C01,2,4,2,3,3,3,2,3,3,4,9.0,,,8.6,,,,7.5,,,1,Đi làm,,7340301,1,Kinh doanh & Quản lý
8/12/2026 17:51,Quản lý tài nguyên và môi trường,Nam,A00,3,3,3,3,3,2,4,3,3,1,,,,7.75,,,,7.0,5.25,,1,Đi làm,,7850101,4,"Thực phẩm, Sinh học & Môi trường"
8/13/2026 15:38,Công nghệ sinh học,Nữ,B08,5,1,5,5,5,5,5,5,5,5,,,5.0,7.75,,,,,,9.0,1,Đi làm,,7420201,4,"Thực phẩm, Sinh học & Môi trường"
8/14/2026 8:42,Tài chính ngân hàng,Nữ,A01,3,5,4,4,5,5,4,4,3,5,,,8.0,7.0,,,,6.0,,,2,Nghiên cứu,,7340201,1,Kinh doanh & Quản lý
8/13/2026 10:40,Công nghệ chế tạo máy,Nam,D01,4,3,4,3,5,4,4,4,3,4,7.0,,4.5,5.5,,,,,,,1,Đi làm,,7510202,3,Kỹ thuật & Công nghệ
8/11/2026 13:46,Kỹ thuật nhiệt,Nam,B00,2,5,4,3,2,2,3,2,3,2,,,,7.0,,,,,7.75,6.25,1,Đi làm,,7520115,3,Kỹ thuật & Công nghệ
8/12/2026 16:15,Marketing,Nữ,A01,4,4,4,2,5,3,2,3,3,3,,,7.0,7.0,,,,8.0,,,1,Đi làm,,7340115,1,Kinh doanh & Quản lý
8/12/2026 15:39,Quản trị kinh doanh,Nữ,A01,4,3,3,3,3,4,5,5,3,5,,,7.0,9.0,,,,7.0,,,3,Kinh doanh,,7340101,1,Kinh doanh & Quản lý
8/11/2026 17:16,Quản trị dịch vụ du lịch và lữ hành,Nam,A01,4,1,2,2,3,1,1,5,2,3,,,7.75,7.75,,,,8.5,,,1,Đi làm,,7810103,2,"Du lịch, Khách sạn & Ẩm thực"
8/11/2026 12:40,Công nghệ sinh học,Nam,B00,2,5,4,4,4,4,4,5,4,3,,,,8.0,,,,,8.0,8.5,1,Đi làm,,7420201,4,"Thực phẩm, Sinh học & Môi trường"
8/13/2026 16:40,Kỹ thuật nhiệt,Nam,A00,5,5,3,3,3,3,3,4,4,5,,,,7.0,,,,6.0,8.0,,1,Đi làm,,7520115,3,Kỹ thuật & Công nghệ
8/13/2026 11:13,Công nghệ thông tin,Nữ,A00,3,2,3,3,3,3,3,3,3,3,,,,8.8,,,,7.0,7.0,,1,Đi làm,,7480201,0,CNTT & Máy tính
8/15/2026 19:13,Công nghệ kỹ thuật hóa học,Nam,A01,2,3,2,5,4,5,2,3,3,1,,,9.0,6.0,,,,8.75,,,1,Đi làm,,7510401,3,Kỹ thuật & Công nghệ
8/14/2026 11:06,Công nghệ sinh học,Nữ,A00,3,3,2,4,3,3,3,1,4,1,,,,8.0,,,,6.75,5.25,,4,Chưa xác định,,7420201,4,"Thực phẩm, Sinh học & Môi trường"
8/12/2026 15:54,Công nghệ thực phẩm,Nữ,D01,3,2,3,2,4,2,2,4,3,3,7.0,,7.0,6.5,,,,,,,1,Đi làm,,7540101,4,"Thực phẩm, Sinh học & Môi trường"
8/14/2026 10:11,Kế toán,Nữ,C01,4,5,5,4,4,3,4,3,3,5,7.5,,,4.0,,,,4.0,,,4,Chưa xác định,,7340301,1,Kinh doanh & Quản lý
8/12/2026 15:40,Quản trị kinh doanh,Nữ,X01,3,4,2,4,3,1,1,2,4,3,7.75,,,6.0,8.0,,,,,,1,Đi làm,,7340101,1,Kinh doanh & Quản lý
8/11/2026 12:41,Công nghệ vật liệu,Nam,C01,4,4,4,2,4,2,4,4,2,4,8.0,,,5.5,,,,7.75,,,1,Đi làm,,7510402,3,Kỹ thuật & Công nghệ
8/14/2026 10:53,Quản lý Công nghiệp,Nữ,A00,3,3,2,4,4,3,3,2,3,2,,,,8.25,,,,7.6,7.75,,1,Đi làm,,7510601,1,Kinh doanh & Quản lý
8/14/2026 11:30,Trí tuệ nhân tạo,Nam,A00,3,3,5,4,4,1,1,2,2,1,,,,6.75,,,,7.0,5.5,,1,Đi làm,,7480107,0,CNTT & Máy tính
7/20/2026 19:14,Công nghệ thực phẩm,Nữ,A00,3,3,3,3,5,4,3,5,4,4,,,,8.3,,,,9.2,8.2,,1,Đi làm,,7540101,4,"Thực phẩm, Sinh học & Môi trường"
7/20/2026 14:56,Công nghệ thông tin,Nam,D01,2,5,3,3,3,3,3,3,2,3,7.0,,7.8,7.2,,,,,,,1,Đi làm,,7480201,0,CNTT & Máy tính
8/14/2026 9:58,Marketing,Nam,D07,5,1,3,5,3,2,1,1,4,3,,,5.25,8.25,,,,,9.0,,1,Đi làm,,7340115,1,Kinh doanh & Quản lý
8/14/2026 9:29,Quản trị kinh doanh,Nữ,C02,3,3,4,3,3,3,3,3,3,5,5.75,,,6.5,,,,,5.85,,3,Kinh doanh,,7340101,1,Kinh doanh & Quản lý
8/11/2026 17:28,Kinh doanh thời trang và dệt may,Nữ,D01,3,3,4,2,2,1,1,2,3,5,5.5,,9.0,9.5,,,,,,,3,Kinh doanh,,7340123,1,Kinh doanh & Quản lý
8/10/2026 11:42,Công nghệ kỹ thuật điều khiển và TĐH,Nam,A01,3,3,3,4,4,5,2,5,3,1,,,6.0,7.5,,,,7.0,,,4,Chưa xác định,,7510303,3,Kỹ thuật & Công nghệ
8/10/2026 11:40,Đảm bảo chất lượng và an toàn thực phẩm,Nữ,A00,3,3,3,3,4,4,4,4,4,4,,,,8.0,,,,8.0,6.0,,1,Đi làm,,7540106,4,"Thực phẩm, Sinh học & Môi trường"
8/11/2026 15:28,Tài chính ngân hàng,Nữ,A00,3,2,4,5,3,2,2,3,4,5,,,,6.35,,,,7.25,7.75,,1,Đi làm,,7340201,1,Kinh doanh & Quản lý
8/13/2026 10:49,An toàn thông tin,Nam,A01,4,2,4,4,4,4,4,4,4,4,,,6.25,8.5,,,,7.0,,,3,Kinh doanh,,7480202,0,CNTT & Máy tính
8/11/2026 15:26,Công nghệ kỹ thuật cơ điện tử,Nam,A01,3,3,3,3,3,2,3,3,3,3,,,7.0,5.0,,,,7.0,,,4,Chưa xác định,,7510203,3,Kỹ thuật & Công nghệ
7/19/2026 18:10,Công nghệ kỹ thuật điều khiển và TĐH,Nữ,A01,3,4,5,5,3,2,2,1,3,1,,,8.0,8.25,,,,5.5,,,1,Đi làm,,7510303,3,Kỹ thuật & Công nghệ
8/11/2026 14:09,Công nghệ thực phẩm,Nữ,A00,2,4,4,4,4,5,5,4,3,4,,,,6.0,,,,6.75,6.75,,1,Đi làm,,7540101,4,"Thực phẩm, Sinh học & Môi trường"
8/11/2026 12:31,Công nghệ tài chính,Nữ,A00,3,3,4,4,1,3,1,1,3,3,,,,7.0,,,,7.0,8.0,,1,Đi làm,,7340205,1,Kinh doanh & Quản lý
8/13/2026 15:44,Công nghệ thực phẩm,Nữ,B00,3,4,3,3,3,4,4,4,4,4,,,,7.3,,,,,8.0,7.5,2,Nghiên cứu,,7540101,4,"Thực phẩm, Sinh học & Môi trường"
8/11/2026 13:19,Kế toán,Nữ,A01,1,4,3,4,3,2,3,4,2,4,,,6.3,7.3,,,,7.0,,,1,Đi làm,,7340301,1,Kinh doanh & Quản lý
8/11/2026 13:01,Công nghệ thực phẩm,Nam,B00,3,5,4,3,3,3,3,5,3,4,,,,7.0,,,,,6.0,7.0,1,Đi làm,,7540101,4,"Thực phẩm, Sinh học & Môi trường"
8/13/2026 10:31,Khoa học dữ liệu,Nam,C01,2,3,3,5,4,3,2,1,4,5,6.25,,,8.5,,,,7.0,,,2,Nghiên cứu,,7460108,0,CNTT & Máy tính
8/12/2026 15:07,Kinh doanh thời trang và dệt may,Nữ,A01,2,2,5,2,3,2,1,2,2,5,,,7.25,7.25,,,,8.0,,,1,Đi làm,,7340123,1,Kinh doanh & Quản lý
8/14/2026 11:40,Công nghệ kỹ thuật cơ điện tử,Nam,A01,1,5,3,4,5,2,2,1,3,2,,,7.75,7.25,,,,6.75,,,1,Đi làm,,7510203,3,Kỹ thuật & Công nghệ
8/13/2026 16:39,Kỹ thuật nhiệt,Nam,D01,5,5,5,5,5,5,5,4,5,5,2.5,,5.0,8.25,,,,,,,1,Đi làm,,7520115,3,Kỹ thuật & Công nghệ
7/20/2026 14:42,Luật kinh tế,Nữ,C00,2,3,2,3,3,4,4,4,3,3,7.75,9.0,,,,,8.75,,,,1,Đi làm,,7380107,5,Luật
8/14/2026 10:09,Đảm bảo chất lượng và an toàn thực phẩm,Nam,A00,2,1,5,3,4,5,3,5,1,4,,,,6.75,,,,5.25,6.75,,1,Đi làm,,7540106,4,"Thực phẩm, Sinh học & Môi trường"
8/11/2026 13:50,Công nghệ thực phẩm,Nữ,B00,3,4,4,3,4,3,3,4,3,2,,,,6.0,,,,,5.0,5.0,1,Đi làm,,7540101,4,"Thực phẩm, Sinh học & Môi trường"
8/11/2026 14:04,Công nghệ kỹ thuật hóa học,Nữ,A00,3,4,5,5,5,5,4,5,4,4,,,,7.0,,,,7.5,6.5,,1,Đi làm,,7510401,3,Kỹ thuật & Công nghệ
8/14/2026 11:50,Luật,Nữ,D01,4,2,2,5,4,1,1,1,4,2,8.0,,8.25,7.5,,,,,,,1,Đi làm,,7380101,5,Luật
8/11/2026 13:08,Công nghệ thực phẩm,Nữ,A00,4,3,3,4,4,3,4,4,3,4,,,,7.0,,,,7.5,7.75,,1,Đi làm,,7540101,4,"Thực phẩm, Sinh học & Môi trường"
8/14/2026 10:35,Công nghệ kỹ thuật điện - điện tử,Nam,A00,4,2,4,4,5,2,1,1,1,1,,,,8.25,,,,6.0,8.5,,3,Kinh doanh,,7510301,3,Kỹ thuật & Công nghệ
8/14/2026 9:22,Quản trị dịch vụ du lịch và lữ hành,Nam,A01,5,1,2,3,3,1,2,3,3,2,,,5.75,9.0,,,,6.5,,,1,Đi làm,,7810103,2,"Du lịch, Khách sạn & Ẩm thực"
8/11/2026 15:41,Công nghệ thực phẩm,Nữ,C00,3,3,4,4,3,1,1,5,2,3,7.0,7.75,,,,,8.25,,,,3,Kinh doanh,,7540101,4,"Thực phẩm, Sinh học & Môi trường"
8/13/2026 10:14,Marketing,Nữ,D01,5,4,5,3,5,5,3,4,5,5,8.25,,6.75,7.0,,,,,,,1,Đi làm,,7340115,1,Kinh doanh & Quản lý
8/13/2026 10:21,Công nghệ vật liệu,Nam,A00,2,4,3,3,4,5,4,2,3,3,,,,8.0,,,,5.75,7.75,,4,Chưa xác định,,7510402,3,Kỹ thuật & Công nghệ
7/20/2026 17:04,Công nghệ kỹ thuật điều khiển và TĐH,Nam,A00,3,5,5,5,2,3,5,2,4,2,,,,8.2,,,,7.25,6.75,,1,Đi làm,,7510303,3,Kỹ thuật & Công nghệ
7/25/2026 20:13,Công nghệ kỹ thuật cơ điện tử,Nam,A00,3,1,4,5,4,1,2,1,1,2,,,,7.25,,,,6.75,7.25,,1,Đi làm,,7510203,3,Kỹ thuật & Công nghệ
8/11/2026 16:26,Công nghệ thực phẩm,Nữ,B00,2,4,3,3,4,4,4,4,3,3,,,,5.5,,,,,8.25,6.6,1,Đi làm,,7540101,4,"Thực phẩm, Sinh học & Môi trường"
8/12/2026 15:14,Quản trị dịch vụ du lịch và lữ hành,Nữ,C00,1,5,4,4,4,4,4,4,4,4,7.5,8.0,,,,,8.0,,,,1,Đi làm,,7810103,2,"Du lịch, Khách sạn & Ẩm thực"
8/13/2026 10:25,Công nghệ tài chính,Nữ,A01,5,2,5,3,3,1,1,2,4,2,,,8.25,5.25,,,,5.25,,,1,Đi làm,,7340205,1,Kinh doanh & Quản lý
8/12/2026 15:20,"Công nghệ dệt, may",Nữ,C03,5,4,5,1,5,4,5,1,5,5,7.75,,,5.0,,,6.75,,,,2,Nghiên cứu,,7540204,3,Kỹ thuật & Công nghệ
8/11/2026 15:08,Công nghệ thông tin,Nữ,A01,3,4,4,4,4,4,4,4,4,4,,,7.0,7.5,,,,6.5,,,1,Đi làm,,7480201,0,CNTT & Máy tính
8/14/2026 12:53,"Công nghệ dệt, may",Nữ,A01,3,2,4,3,2,1,2,3,2,4,,,8.75,8.5,,,,6.5,,,1,Đi làm,,7540204,3,Kỹ thuật & Công nghệ
8/12/2026 15:20,"Công nghệ dệt, may",Nữ,A01,3,3,1,3,3,3,2,3,3,3,,,4.0,5.75,,,,7.25,,,1,Đi làm,,7540204,3,Kỹ thuật & Công nghệ
8/14/2026 10:52,Quản trị kinh doanh thực phẩm,Nam,A00,2,3,3,2,3,2,2,4,3,4,,,,5.5,,,,6.0,5.5,,1,Đi làm,,7340129,4,"Thực phẩm, Sinh học & Môi trường"
7/20/2026 14:56,Công nghệ thông tin,Nam,D01,3,4,3,4,3,3,3,3,3,3,6.5,,8.7,6.0,,,,,,,1,Đi làm,,7480201,0,CNTT & Máy tính
7/18/2026 13:21,Quản trị dịch vụ du lịch và lữ hành,Nam,D01,3,2,1,2,1,3,3,1,2,2,8.25,,6.5,8.0,,,,,,,1,Đi làm,,7810103,2,"Du lịch, Khách sạn & Ẩm thực"
8/11/2026 12:32,Công nghệ tài chính,Nữ,A00,3,3,5,3,3,3,5,4,3,3,,,,8.0,,,,7.0,7.0,,3,Kinh doanh,,7340205,1,Kinh doanh & Quản lý
8/14/2026 9:16,Marketing,Nữ,D01,4,1,4,5,2,1,1,1,3,2,7.25,,7.0,6.0,,,,,,,1,Đi làm,,7340115,1,Kinh doanh & Quản lý
8/12/2026 15:22,Kinh doanh quốc tế,Nữ,A01,3,3,5,4,4,4,4,5,4,3,,,5.0,6.0,,,,7.5,,,3,Kinh doanh,,7340120,1,Kinh doanh & Quản lý
8/13/2026 11:06,Khoa học dinh dưỡng và ẩm thực,Nam,B00,4,1,3,3,5,4,5,4,3,3,,,,7.25,,,,,5.35,4.75,2,Nghiên cứu,,7819009,2,"Du lịch, Khách sạn & Ẩm thực"
7/25/2026 20:11,Công nghệ tài chính,Nam,A00,4,2,3,5,2,1,1,2,4,2,,,,5.25,,,,7.75,7.25,,1,Đi làm,,7340205,1,Kinh doanh & Quản lý
8/11/2026 15:13,Công nghệ thực phẩm,Nữ,D07,2,2,3,4,2,2,2,2,2,3,,,7.2,4.25,,,,,8.75,,1,Đi làm,,7540101,4,"Thực phẩm, Sinh học & Môi trường"
8/11/2026 12:59,Ngôn ngữ Trung Quốc,Nữ,D01,3,3,3,3,2,2,2,2,2,2,8.5,,6.4,7.2,,,,,,,4,Chưa xác định,,7220204,6,Ngoại ngữ
8/11/2026 13:49,Công nghệ thực phẩm,Nữ,D07,1,3,1,1,1,1,4,4,5,2,,,5.75,5.6,,,,,7.25,,1,Đi làm,,7540101,4,"Thực phẩm, Sinh học & Môi trường"
8/11/2026 14:00,Công nghệ sinh học,Nữ,B00,3,2,3,3,4,4,4,2,4,4,,,,5.5,,,,,6.5,7.5,2,Nghiên cứu,,7420201,4,"Thực phẩm, Sinh học & Môi trường"
8/11/2026 13:06,Luật kinh tế,Nữ,D15,3,4,3,4,4,3,3,3,3,3,9.0,9.75,5.6,,,,,,,,1,Đi làm,,7380107,5,Luật
8/13/2026 15:56,Công nghệ vật liệu,Nữ,C02,3,4,3,3,3,3,3,3,3,3,7.5,,,7.0,,,,,6.0,,4,Chưa xác định,,7510402,3,Kỹ thuật & Công nghệ
8/13/2026 11:28,Ngôn ngữ Trung Quốc,Nam,A00,5,2,4,4,4,5,5,5,5,5,,,,5.5,,,,2.6,4.5,,1,Đi làm,,7220204,6,Ngoại ngữ
8/14/2026 12:58,Công nghệ thực phẩm,Nữ,A00,2,2,3,4,5,4,3,4,2,1,,,,6.5,,,,6.25,5.0,,1,Đi làm,,7540101,4,"Thực phẩm, Sinh học & Môi trường"
8/13/2026 10:07,Kinh doanh quốc tế,Nữ,D01,4,5,4,4,5,4,5,4,4,5,6.5,,6.75,6.5,,,,,,,4,Chưa xác định,,7340120,1,Kinh doanh & Quản lý
8/13/2026 14:01,Quản trị khách sạn,Nữ,C00,5,1,3,3,3,2,2,5,3,2,7.0,7.0,,,,,9.0,,,,3,Kinh doanh,,7810201,2,"Du lịch, Khách sạn & Ẩm thực"
8/11/2026 13:45,Kế toán,Nữ,D01,2,4,4,3,3,1,1,4,2,4,7.5,,7.8,8.0,,,,,,,1,Đi làm,,7340301,1,Kinh doanh & Quản lý
7/18/2026 21:12,Công nghệ thông tin,Nam,A00,3,4,4,5,4,2,1,1,3,2,,,,8.2,,,,7.6,8.0,,1,Đi làm,,7480201,0,CNTT & Máy tính
8/13/2026 10:21,Logistics và quản lý chuỗi cung ứng,Nam,D01,3,4,3,3,4,3,4,4,3,4,5.25,,7.0,7.8,,,,,,,1,Đi làm,,7510605,1,Kinh doanh & Quản lý
8/13/2026 15:56,Marketing,Nữ,C01,3,3,4,3,3,3,4,5,3,4,8.5,,,8.9,,,,8.5,,,1,Đi làm,,7340115,1,Kinh doanh & Quản lý
8/12/2026 16:30,Kinh doanh quốc tế,Nữ,A01,4,3,4,4,4,2,2,3,4,5,,,5.5,9.0,,,,8.0,,,3,Kinh doanh,,7340120,1,Kinh doanh & Quản lý
8/12/2026 15:14,Quản trị dịch vụ du lịch và lữ hành,Nữ,C00,2,5,3,1,5,1,5,3,4,3,7.25,8.8,,,,,9.0,,,,1,Đi làm,,7810103,2,"Du lịch, Khách sạn & Ẩm thực"
8/13/2026 13:27,Quản lý tài nguyên và môi trường,Nữ,A00,2,2,3,5,4,2,5,2,2,1,,,,8.75,,,,7.5,9.5,,1,Đi làm,,7850101,4,"Thực phẩm, Sinh học & Môi trường"
8/13/2026 10:18,Công nghệ kỹ thuật điều khiển và TĐH,Nam,D07,4,3,3,5,5,2,1,2,1,2,,,6.0,6.5,,,,,9.25,,1,Đi làm,,7510303,3,Kỹ thuật & Công nghệ
8/14/2026 11:27,Quản trị dịch vụ du lịch và lữ hành,Nữ,C00,1,5,2,2,3,1,2,3,1,2,5.5,4.95,,,,,6.7,,,,4,Chưa xác định,,7810103,2,"Du lịch, Khách sạn & Ẩm thực"
7/22/2026 18:18,Công nghệ sinh học,Nam,D07,2,2,2,5,5,5,2,3,2,2,,,7.5,5.0,,,,,6.25,,3,Kinh doanh,,7420201,4,"Thực phẩm, Sinh học & Môi trường"
8/11/2026 17:25,Logistics và quản lý chuỗi cung ứng,Nam,A01,4,2,5,5,2,2,1,1,3,3,,,8.5,9.0,,,,8.25,,,1,Đi làm,,7510605,1,Kinh doanh & Quản lý
8/13/2026 15:51,"Công nghệ dệt, may",Nữ,D01,3,5,5,5,4,4,5,5,5,5,9.0,,8.0,8.0,,,,,,,1,Đi làm,,7540204,3,Kỹ thuật & Công nghệ
8/13/2026 15:56,Công nghệ thông tin,Nữ,A00,5,1,5,5,5,3,5,5,3,4,,,,7.8,,,,8.5,7.0,,3,Kinh doanh,,7480201,0,CNTT & Máy tính
